ret_yr,a3,a4,a5,a6
2019,0,0.429268293,0.570731707,0
2020,0.021732183,0.28724722,0.691020597,0
2021,0.031759786,0.594868796,0.373371417,0
2022,0,0.382552201,0.617447799,0
2023,0.03252278,0.346796489,0.620680731,0
2024,0.049863175,0.764810448,0.185326377,0
