Data_Stage,Species,Species_Short,CU_ID,CU_Name,Stock_Report,CU_Name_tsdata,DU_ID,CU_ID_Alt1,CU_ID_Alt2_CULookup,Pop_TimeSeriesData_CU_ID,CU_ID_Report,STK_ID,CU_Name_Alt1,CU_Name_Alt2,CU_Acro,latitude,long,FAZ,MAZ,JAZ,Region,Area,RunTiming,LifeHistory,Group,SMU,DataQualkIdx,AbdMetric,AbsAbdMetric,ShortTrendMetric,LongTrendMetric,PercentileMetric,Avg_Gen,Cyclic,Cyc_Dom,Cyc_Dom_Year,TrendNumGen,TrendExtraYears,TrendLog,TrendSmooth,AvgType,AvgSmooth,AvgRecentExcl,LongTrendMinYears,RelAbd_AvgData,RelAbd_LBM,RelAbd_UBM,AbsAbd_LBM,AbsAbd_UBM,LongTrend_LBM,LongTrend_UBM,PercChange_LBM,PercChange_UBM,ProbDeclBelowLBM_LBM,ProbDeclBelowLBM_UBM,Trends_StartYr,Abd_StartYr
Approved,Chinook,Ck,CK-01,Okanagan_1.x,Okanagan_1.x,,NA,,CK-01,CK-01,CK-01,NA,NA,NA,OK,49.07637,-119.51818,,,,Okanagan,Okanagan,Summer,Ocean,CK-Columbia,CK-Okanagan,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,2006,2006
In Progress,Chinook,Ck,CK-02,Boundary Bay_FA_0.3,Boundary Bay_FA_0.3,,NA,,CK-02,CK-02,CK-02,NA,NA,NA,BB,49.050899,-122.8337027,,,,Inner_South_Coast,South_Coast,Fall,Ocean,CK-Inner_South_Coast,CK_BoundaryBay,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,1980,1980
Approved,Chinook,Ck,CK-03,Lower Fraser River_FA_0.3,Lower Fraser River_FA_0.3,,NA,,CK-03,CK-03,CK-03,NA,NA,NA,LFR-fall,49.218903,-121.945066,NA,NA,NA,Fraser,Fraser_Lower,Fall,Ocean,CK-Fraser_Lower,CK-Fraser_Fall_4_1,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,15318,63808,1000,10000,0.5,0.75,-25,-15,NA,NA,1984,1984
Approved,Chinook,Ck,CK-04,Lower Fraser River_SP_1.3,Lower Fraser River_SP_1.3,,NA,,CK-04,CK-04,CK-04,NA,NA,NA,LFR-spring,49.460826,-122.4924814,NA,NA,NA,Fraser,Fraser_Lower,Spring,Stream,CK-Fraser_Lower,CK-Fraser_Spring_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,337,1332,1000,10000,0.5,0.75,-25,-15,NA,NA,2009,2009
Approved,Chinook,Ck,CK-05,Lower Fraser River-Upper Pitt_SU_1.3,Lower Fraser River-Upper Pitt_SU_1.3,,NA,,CK-05,CK-05,CK-05,NA,NA,NA,LFR-UPITT,49.566286,-122.634339,NA,NA,NA,Fraser,Fraser_Lower,Summer,Stream,CK-Fraser_Lower,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,247,965,1000,10000,0.5,0.75,-25,-15,NA,NA,1996,1996
Approved,Chinook,Ck,CK-06,Lower Fraser River_SU_1.3,Lower Fraser River_SU_1.3,,NA,,CK-06,CK-06,CK-06,NA,NA,NA,LFR-summer,49.72016855,-122.157779,NA,NA,NA,Fraser,Fraser_Lower,Summer,Stream,CK-Fraser_Lower,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,316,1244,1000,10000,0.5,0.75,-25,-15,NA,NA,2005,2005
Approved,Chinook,Ck,CK-07,Maria Slough_SU_0.3,Maria Slough_SU_0.3,,NA,,CK-07,CK-07,CK-07,NA,NA,NA,Maria,49.227919,-121.733305,NA,NA,NA,Fraser,Fraser_Lower,Summer,Ocean,CK-Fraser_Lower,CK-Fraser_Summer_4_1,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,1996,1996
Approved,Chinook,Ck,CK-08,Middle Fraser-Fraser Canyon_SP_1.3,Middle Fraser-Fraser Canyon_SP_1.3,,NA,,CK-08,CK-08,CK-08,NA,NA,NA,FRCanyon,49.977915,-121.512032,NA,NA,NA,Fraser,Fraser_Upper,Spring,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Spring_5_2,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,224,870,1000,10000,0.5,0.75,-25,-15,NA,NA,1997,1997
Approved,Chinook,Ck,CK-09,Middle Fraser River-Portage_FA_1.3,Middle Fraser River-Portage_FA_1.3,,NA,,CK-09,CK-09,CK-09,NA,NA,NA,Portage,50.70803,-122.270059,NA,NA,NA,Fraser,Fraser_Upper,Fall,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,333,1316,1000,10000,0.5,0.75,-25,-15,NA,NA,2000,2000
Approved,Chinook,Ck,CK-10,Middle Fraser River_SP_1.3,Middle Fraser River_SP_1.3,,NA,,CK-10,CK-10,CK-10,NA,NA,NA,MFR-spring,52.72549964,-122.6181922,NA,NA,NA,Fraser,Fraser_Upper,Spring,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Spring_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,4692,19652,1000,10000,0.5,0.75,-25,-15,NA,NA,1995,1995
Approved,Chinook,Ck,CK-11,Middle Fraser River_SU_1.3,Middle Fraser River_SU_1.3,,NA,,CK-11,CK-11,CK-11,NA,NA,NA,MFR-summer,52.94072095,-123.4585458,NA,NA,NA,Fraser,Fraser_Upper,Summer,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,3491,13555,1000,10000,0.5,0.75,-25,-15,NA,NA,2006,2006
Approved,Chinook,Ck,CK-12,Upper Fraser River_SP_1.3,Upper Fraser River_SP_1.3,,NA,,CK-12,CK-12,CK-12,NA,NA,NA,UFR-spring,53.67953103,-120.9021509,NA,NA,NA,Fraser,Fraser_Upper,Spring,Stream,CK-Fraser_Mid_Upper,CK-Fraser_Spring_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,2862,12457,1000,10000,0.5,0.75,-25,-15,NA,NA,2006,2006
Approved,Chinook,Ck,CK-13,South Thompson_SU_0.3,South Thompson_SU_0.3,,NA,,CK-13,CK-13,CK-13,NA,NA,NA,STh-0.3,50.94251125,-119.4355425,NA,NA,NA,Fraser,Fraser_Thompson,Summer,Ocean,CK-Fraser_Thompson,CK-Fraser_Summer_4_1,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,19313,43925,1000,10000,0.5,0.75,-25,-15,NA,NA,1997,1997
Approved,Chinook,Ck,CK-14,South Thompson_SU_1.3,South Thompson_SU_1.3,,NA,,CK-14,CK-14,CK-14,NA,NA,NA,STh-1.3,50.8752315,-119.251533,NA,NA,NA,Fraser,Fraser_Thompson,Summer,Stream,CK-Fraser_Thompson,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,504,1986,1000,10000,0.5,0.75,-25,-15,NA,NA,1999,1999
Approved,Chinook,Ck,CK-15,Shuswap River_SU_0.3,Shuswap River_SU_0.3,,NA,,CK-15,CK-15,CK-15,NA,NA,NA,STh-SHUR,50.576293,-118.8984295,NA,NA,NA,Fraser,Fraser_Thompson,Summer,Ocean,CK-Fraser_Thompson,CK-Fraser_Summer_4_1,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,12410,24394.15,1000,10000,0.5,0.75,-25,-15,NA,NA,1975,1975
Approved,Chinook,Ck,CK-16,South Thompson-Bessette Creek_SU_1.2,South Thompson-Bessette Creek_SU_1.2,,NA,,CK-16,CK-16,CK-16,NA,NA,NA,STh-BESS,50.25159,-118.935535,NA,NA,NA,Fraser,Fraser_Thompson,Summer,Stream,CK-Fraser_Thompson,CK-Fraser_Spring_4_2,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,77,103,1000,10000,0.5,0.75,-25,-15,NA,NA,1999,1999
Approved,Chinook,Ck,CK-17,Lower Thompson_SP_1.2,Lower Thompson_SP_1.2,,NA,,CK-17,CK-17,CK-17,NA,NA,NA,LTh,50.336506,-120.9842179,NA,NA,NA,Fraser,Fraser_Thompson,Spring,Stream,CK-Fraser_Thompson,CK-Fraser_Spring_4_2,Abs_Abd,TRUE,TRUE,TRUE,TRUE,FALSE,4,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,2662,3604,1000,10000,0.5,0.75,-25,-15,NA,NA,1995,1995
Approved,Chinook,Ck,CK-18,North Thompson_SP_1.3,North Thompson_SP_1.3,,NA,,CK-18,CK-18,CK-18,NA,NA,NA,NTh-spr,51.83759443,-119.6156737,NA,NA,NA,Fraser,Fraser_Thompson,Spring,Stream,CK-Fraser_Thompson,CK-Fraser_Spring_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,898,3711,1000,10000,0.5,0.75,-25,-15,NA,NA,1999,1999
Approved,Chinook,Ck,CK-19,North Thompson_SU_1.3,North Thompson_SU_1.3,,NA,,CK-19,CK-19,CK-19,NA,NA,NA,NTh-sum,51.43836057,-120.0999803,NA,NA,NA,Fraser,Fraser_Thompson,Summer,Stream,CK-Fraser_Thompson,CK-Fraser_Summer_5_2,Rel_Idx,FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,1756,7481,1000,10000,0.5,0.75,-25,-15,NA,NA,1997,1997
Approved,Chinook,Ck,CK-82,Upper Adams River_SU_x.x,Upper Adams River_SU_x.x,,NA,,CK-82,CK-82,CK-82,NA,NA,NA,UADAMS,51.411,-119.456,NA,NA,NA,Fraser,Fraser_Thompson,Summer,Ocean,CK-Fraser_Thompson,TBD,Rel_Idx,FALSE,FALSE,FALSE,TRUE,FALSE,5,FALSE,NA,NA,3,0,TRUE,FALSE,geomean,FALSE,FALSE,15,regular,NA,NA,1000,10000,0.5,0.75,-25,-15,NA,NA,1999,1999
