stock,BY,startage,survival,missingBYn,survivalscaled
NIC,1985,3,0.030912924,0,0.442587268
NIC,1986,3,0.006203446,0,-1.120300888
NIC,1987,3,0.026037076,0,0.275549541
NIC,1988,3,0.012920724,0,-0.406300532
NIC,1989,3,0.027125064,0,0.315385569
NIC,1990,3,0.077217264,0,1.33342295
NIC,1991,3,0.054992873,0,1.003129223
NIC,1992,3,0.000960087,0,-2.935971507
NIC,1993,3,0.007593167,0,-0.923591987
NIC,1994,3,0.01072179,0,-0.587839124
NIC,1995,3,0.058276866,0,1.059571382
NIC,1996,3,0.046164532,0,0.832842292
NIC,1997,3,0.062732305,0,1.131261964
NIC,1998,3,0.125275414,0,1.804304465
NIC,1999,3,0.063111288,0,1.137123124
NIC,2000,3,0.009440882,0,-0.711647153
NIC,2001,3,0.016644262,0,-0.159876033
NIC,2002,3,0.012895477,0,-0.40820383
NIC,2003,3,0.002208095,0,-2.125502586
NIC,2004,3,0.025798849,0,0.266605051
NIC,2005,3,0.004155125,0,-1.510288237
NIC,2006,3,0.03961098,0,0.683853303
NIC,2007,3,0.012577156,0,-0.432526293
NIC,2008,3,0.012969042,0,-0.402668278
NIC,2009,3,0.018568053,0,-0.053439741
NIC,2010,3,0.004867011,0,-1.356402549
NIC,2011,3,0.018510143,0,-0.056479466
NIC,2012,3,0.011805572,0,-0.494134598
NIC,2013,3,0.015514686,0,-0.228264962
NIC,2014,3,0.02047307,0,0.041602143
NIC,2015,3,0.031192246,0,0.451340619
NIC,2016,3,0.027484446,0,0.328193765
NIC,2017,3,0.046831975,0,0.846810756
NIC,2018,3,0.051400658,0,0.937392839
NIC,2019,3,0.034272732,1,0.542988954
NIC,2020,3,0.03210715,2,0.479472557
NIC,2021,3,0.05238418,3,NA
SHU,1978,2,NA,0,NA
SHU,1979,2,NA,0,NA
SHU,1980,2,0,NA,NA
SHU,1981,2,0,NA,NA
SHU,1982,2,0,NA,NA
SHU,1983,2,0,NA,NA
SHU,1984,2,0.066928619,0,1.490737744
SHU,1985,2,0.048803719,0,1.001868122
SHU,1986,2,0.047514325,0,0.960421689
SHU,1987,2,0.03525206,0,0.498351293
SHU,1988,2,0.013487857,0,-0.98880448
SHU,1989,2,0.010301173,0,-1.406023055
SHU,1990,2,0.081393058,0,1.793612189
SHU,1991,2,0.009066896,0,-1.603582778
SHU,1992,2,0.032306218,0,0.363271749
SHU,1993,2,0.021077582,0,-0.297774199
SHU,1994,2,0.032289314,0,0.362461565
SHU,1995,2,0.027448196,0,0.111021103
SHU,1996,2,0.03233622,0,0.364708608
SHU,1997,2,0.007386243,0,-1.920926482
SHU,1998,2,0.064254927,0,1.427631053
SHU,1999,2,0.051782947,0,1.093590139
SHU,2000,2,0.038159242,0,0.621015993
SHU,2001,2,0.028254056,0,0.15581309
SHU,2002,2,0.052673753,0,1.11999234
SHU,2003,2,0.009134574,0,-1.592071484
SHU,2004,2,0.010969482,0,-1.3087209
SHU,2005,2,0.050014345,0,1.03979773
SHU,2006,2,0.031692248,0,0.333570536
SHU,2007,2,0.025043349,0,-0.030912575
SHU,2008,2,0.012169548,0,-1.148014489
SHU,2009,2,0.014765193,0,-0.848742823
SHU,2010,2,0.05888774,0,1.292611508
SHU,2011,2,0.027084494,0,0.090373066
SHU,2012,2,0.017794193,0,-0.559898476
SHU,2013,2,0.016333146,0,-0.692519003
SHU,2014,2,0.029034692,0,0.19800112
SHU,2015,2,0.012012015,0,-1.168183138
SHU,2016,2,0.040802015,0,0.724671251
SHU,2017,2,0.035057344,0,0.489777489
SHU,2018,2,0.03152992,0,0.325621586
SHU,2019,2,0.019129498,0,-0.44789079
SHU,2020,2,0.009752875,1,-1.490688484
SHU,2021,2,0.020323514,2,-0.354167807
SHU,2022,2,0.00146102,3,NA
