stock,BY,startage,survival,missingBYn,survivalscaled
CHI,1981,2,0.305383628,0,1.622909843
CHI,1982,2,0.050491868,0,-0.901284986
CHI,1983,2,0.094507823,0,-0.022086703
CHI,1984,2,0.130818066,0,0.433907594
CHI,1985,2,0.03989555,0,-1.231645125
CHI,1986,2,0.286574225,0,1.533749942
CHI,1987,2,0.068962267,0,-0.464053234
CHI,1988,2,0.283595831,0,1.519097138
CHI,1989,2,0.214164657,0,1.125262522
CHI,1990,2,0.065049943,0,-0.545966263
CHI,1991,2,0.016861164,0,-2.43956817
CHI,1992,2,0.055620174,0,-0.765614045
CHI,1993,2,0.054448505,0,-0.795474521
CHI,1994,2,0.117182129,0,0.279520737
CHI,1995,2,0.038965295,0,-1.264735346
CHI,1996,2,0.164979742,0,0.759313515
CHI,1997,2,0.030510808,0,-1.60777831
CHI,1998,2,0.121910337,0,0.334999457
CHI,1999,2,0.19666485,0,1.005705907
CHI,2000,2,0.155904093,0,0.679956589
CHI,2001,2,0.141590738,0,0.54489353
CHI,2002,2,0.108333215,0,0.169398242
CHI,2003,2,0.119126185,0,0.3025977
CHI,2004,2,0.020956147,0,-2.134633591
CHI,2005,2,0.161731319,0,0.731422634
CHI,2006,2,0.027308864,0,-1.763275244
CHI,2007,2,0.255210559,0,1.371185719
CHI,2008,2,0.13658473,0,0.494408954
CHI,2009,2,0.068929819,0,-0.464713292
CHI,2010,2,0.209508025,0,1.094430778
CHI,2011,2,0.166283959,0,0.770357284
CHI,2012,2,0.088641122,0,-0.111969643
CHI,2013,2,0.049240491,0,-0.936482656
CHI,2014,2,0.085263218,0,-0.166461373
CHI,2015,2,0.08016409,0,-0.252951279
CHI,2016,2,0.172386134,0,0.820904113
CHI,2017,2,0.133446243,0,0.461805365
CHI,2018,2,0.115743326,0,0.262193509
CHI,2019,2,0.075965335,0,-0.328404825
CHI,2020,2,0.096902487,1,0.013007964
CHI,2021,2,0.087263981,2,-0.13393043
CHI,2022,2,0.062076483,3,NA
CKO,1986,3,0.001480795,0,-0.465668173
CKO,1987,3,0.000981386,0,-0.724953193
CKO,1988,3,0.000463016,0,-1.198437179
CKO,1989,3,0.000647562,0,-0.987001599
CKO,1990,3,0.000196412,0,-1.73895042
CKO,1991,3,0,NA,NA
CKO,1992,3,0,NA,NA
CKO,1993,3,0,NA,NA
CKO,1994,3,0,NA,NA
CKO,1995,3,0,NA,NA
CKO,1996,3,0,NA,NA
CKO,1997,3,0,NA,NA
CKO,1998,3,0,NA,NA
CKO,1999,3,0,NA,NA
CKO,2000,3,0,NA,NA
CKO,2001,3,0,NA,NA
CKO,2002,3,0,NA,NA
CKO,2003,3,0,NA,NA
CKO,2004,3,0,NA,NA
CKO,2005,3,0,NA,NA
CKO,2006,3,0,NA,NA
CKO,2007,3,0,NA,NA
CKO,2008,3,0,NA,NA
CKO,2009,3,0,NA,NA
CKO,2010,3,0,NA,NA
CKO,2011,3,0,NA,NA
CKO,2012,3,0,NA,NA
CKO,2013,3,0,NA,NA
CKO,2014,3,0.004655355,0,0.256302061
CKO,2015,3,0.006013232,0,0.41762366
CKO,2016,3,0.00469565,0,0.261734263
CKO,2017,3,0.011042981,0,0.800740536
CKO,2018,3,0.019116044,0,1.146606848
CKO,2019,3,0.024388215,1,1.30013027
CKO,2020,3,0.013596911,2,0.931872926
CKO,2021,3,0.001589549,3,NA
HAR,1981,2,0.239612112,0,2.551348212
HAR,1982,2,0.038123182,0,0.496550979
HAR,1983,2,0.01069833,0,-0.923917021
HAR,1984,2,0.011004495,0,-0.892376004
HAR,1985,2,0.013752289,0,-0.643209718
HAR,1986,2,0.072285255,0,1.211737119
HAR,1987,2,0.026244646,0,0.079196678
HAR,1988,2,0.108728883,0,1.66807778
HAR,1989,2,0.072035244,0,1.207864204
HAR,1990,2,0.02186911,0,-0.124681184
HAR,1991,2,0.003978536,0,-2.029647035
HAR,1992,2,0.006423647,0,-1.494124818
HAR,1993,2,0.020406484,0,-0.202060239
HAR,1994,2,0.037988853,0,0.492605261
HAR,1995,2,0.010020919,0,-0.997037586
HAR,1996,2,0.023204735,0,-0.058414773
HAR,1997,2,0.008280214,0,-1.210326595
HAR,1998,2,0.008961986,0,-1.121880319
HAR,1999,2,0.020771072,0,-0.182265083
HAR,2000,2,0.014309023,0,-0.598848468
HAR,2001,2,0.02732949,0,0.124473709
HAR,2002,2,0.009571803,0,-1.048293782
HAR,2003,2,0.016444251,0,-0.443374168
HAR,2004,2,0,NA,NA
HAR,2005,2,0.084117332,0,1.381192016
HAR,2006,2,0.008895449,0,-1.130210394
HAR,2007,2,0.065497808,0,1.101514991
HAR,2008,2,0.023693544,0,-0.035112159
HAR,2009,2,0.011600185,0,-0.833447077
HAR,2010,2,0.050717007,0,0.815623485
HAR,2011,2,0.037287756,0,0.471782577
HAR,2012,2,0.007154875,0,-1.373613725
HAR,2013,2,0.020425165,0,-0.201037376
HAR,2014,2,0.027051416,0,0.11304163
HAR,2015,2,0.030523173,0,0.248016283
HAR,2016,2,0.045462437,0,0.693360782
HAR,2017,2,0.013860387,0,-0.634457467
HAR,2018,2,0.05175785,0,0.838332044
HAR,2019,2,0.039446658,0,0.534698979
HAR,2020,2,0.047355482,1,0.738964035
HAR,2021,2,0.086309787,2,1.409954226
HAR,2022,2,0.007017369,3,NA
MSH,1985,2,0.035924028,0,0.653598056
MSH,1986,2,0.026763155,0,0.254859704
MSH,1987,2,0.028155579,0,0.323559173
MSH,1988,2,0.017652796,0,-0.308791461
MSH,1989,2,0.009680779,0,-1.122510446
MSH,1990,2,0.027925321,0,0.312436457
MSH,1991,2,0.023960848,0,0.105045178
MSH,1992,2,0.023437901,0,0.075155707
MSH,1993,2,0.036702439,0,0.682634267
MSH,1994,2,0.024200461,0,0.118523121
MSH,1995,2,0.033808019,0,0.571368544
MSH,1996,2,0.046882608,0,1.014220973
MSH,1997,2,0.004263949,0,-2.233129195
MSH,1998,2,0.122557656,0,2.315808193
MSH,1999,2,0.061229927,0,1.37585826
MSH,2000,2,0.02025239,0,-0.122711956
MSH,2001,2,0.0555758,0,1.244623069
MSH,2002,2,0,NA,NA
MSH,2003,2,0,NA,NA
MSH,2004,2,0,NA,NA
MSH,2005,2,0,NA,NA
MSH,2006,2,0,NA,NA
MSH,2007,2,0,NA,NA
MSH,2008,2,0.005630387,0,-1.85660146
MSH,2009,2,0.009148456,0,-1.199117298
MSH,2010,2,0.045956243,0,0.987189101
MSH,2011,2,0.044272878,0,0.936642562
MSH,2012,2,0.013909282,0,-0.631620243
MSH,2013,2,0.008190199,0,-1.348988719
MSH,2014,2,0.028727118,0,0.350779283
MSH,2015,2,0.010438827,0,-1.020394838
MSH,2016,2,0.031834541,0,0.489900524
MSH,2017,2,0.016067594,0,-0.436236142
MSH,2018,2,0.014760263,0,-0.551186911
MSH,2019,2,0.012931433,0,-0.730357102
MSH,2020,2,0.012412054,1,-0.785882057
MSH,2021,2,0.032920262,2,0.535325656
MSH,2022,2,0.009149337,3,NA
