year ,total_no_spawners,p_spawn_CYER,p_spawn_FMI,recruits_CYER,recruits_FMI,FMI,CYER,catch_CYER,catch_FMI
2019,6513,0.83629625,0.83893189,7787.910086,7763.443108,0.16106811,0.16370375,1274.910086,1250.443108
2020,15045,0.80887156,0.870918338,18599.98638,17274.86878,0.129081662,0.19112844,3554.986381,2229.868776
2021,16007,0.87365951,0.870016655,18321.78305,18398.49836,0.129983345,0.12634049,2314.783048,2391.498358
2022,27465.66072,0.93277711,0.895756998,29445.04151,30661.95497,0.104243002,0.06722289,1979.380786,3196.294246
2023,19554.79938,0.96601909,0.904691339,20242.66351,21614.88515,0.095308661,0.03398091,687.8641268,2060.085771
2024,12160.38714,0.79064271,0.852700257,15380.3823,14261.03375,0.147299743,0.20935729,3219.995157,2100.646609
