"","Year","total_no_spawners"
"1",2006,19967.3211888
"2",2007,10493.7993169
"3",2008,17814.63011
"4",2009,21886.38011
"5",2010,20503
"6",2011,16850.95975
"7",2012,9144.00242
"8",2013,10096.018512
"9",2014,24818.46156
"10",2015,28341
"11",2016,9193
"12",2017,7436
"13",2018,7002
"14",2019,6513
"15",2020,15045
"16",2021,16007
"17",2022,27465.66072
"18",2023,19554.79938
"19",2024,12160.387135
