year ,total_no_spawners,p_spawn_CYER,p_spawn_FMI,recruits_CYER,recruits_FMI,FMI,CYER,catch_CYER,catch_FMI
2019,3212.461982,0.83629625,0.921986959,3841.296648,3484.281365,0.078013041,0.16370375,628.8346662,271.8193834
2020,17806.78234,0.80887156,0.959597891,22014.35088,18556.50424,0.040402109,0.19112844,4207.568541,749.7219022
2021,17883.5038,0.87365951,0.944766956,20469.64933,18929.01069,0.055233044,0.12634049,2586.145526,1045.506885
2022,24087.93793,0.93277711,0.973131077,25823.89477,24753.02507,0.026868923,0.06722289,1735.956837,665.0871356
2023,16265.47333,0.96601909,0.96928472,16837.63136,16780.90347,0.03071528,0.03398091,572.1580359,515.4301482
2024,14234.34586,0.79064271,0.955976572,18003.51244,14889.84801,0.044023428,0.20935729,3769.166574,655.5021491
