CU_Name,CU_acro,DU_ID,CU_ID,Pop_Name,Pop_ID,Year,EstClass,TotalInfilled,StartYear,UseYear
Upper Fraser River_SP_1.3,UFR-spring,DU11,CK-12,DRISCOLL CREEK,125,2002,QualFiltered,NA,1995,TRUE
Upper Fraser River_SP_1.3,UFR-spring,DU11,CK-12,DRISCOLL CREEK,125,2020,QualFiltered,NA,1995,TRUE
Upper Fraser River_SP_1.3,UFR-spring,DU11,CK-12,DRISCOLL CREEK,125,2021,QualFiltered,NA,1995,TRUE
Upper Fraser River_SP_1.3,UFR-spring,DU11,CK-12,DRISCOLL CREEK,125,2022,QualFiltered,NA,1995,TRUE
Upper Fraser River_SP_1.3,UFR-spring,DU11,CK-12,DRISCOLL CREEK,125,2023,QualFiltered,NA,1995,TRUE
North Thompson_SP_1.3,NTh-spr,DU16,CK-18,ALBREDA RIVER,290,1999,QualFiltered,NA,1997,TRUE
North Thompson_SP_1.3,NTh-spr,DU16,CK-18,ALBREDA RIVER,290,2000,QualFiltered,NA,1997,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,1996,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,1997,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2005,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2006,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2018,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2019,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2020,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2021,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2022,QualFiltered,NA,NA,TRUE
Fraser-Cross-CU Supplementation Exclusion,FR-XCU,DU_NA,CK-9006,ALOUETTE RIVER,294,2023,QualFiltered,NA,NA,TRUE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1975,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1976,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1977,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1978,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1979,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1980,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1981,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1982,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1983,QualFiltered,NA,1986,FALSE
Fraser-Harrison fall transplant_FA_0.3,Chil_transp_FA,DU_TBD6,CK-9008,CHILLIWACK/VEDDER RIVER,696,1984,QualFiltered,NA,1986,FALSE
