ret_yr,a3,a4,a5,a6,total,a3_prop,a4_prop,a5_prop,a6_prop
2020,109.4,1859.8,1312.8,0,3282,0.03,0.57,0.40,0.00
2021,28.34883721,1559.186047,850.4651163,0,2438.000001,0.01,0.64,0.35,0.00
2022,0,3476.966292,649.0337079,0,4126,0.00,0.84,0.16,0.00
2023,0,1244.6875,462.3125,0,1707,0.00,0.73,0.27,0.00
2024,0,1452.089109,124.9108911,0,1577,0.00,0.92,0.08,0.00
