"","Year","total_no_spawners"
"1",2010,16284.194452
"2",2011,11459.267744
"3",2012,10705.826825
"4",2013,16422.9006
"5",2014,35051.27052
"6",2015,24188.8000917
"7",2016,14853.743936
"8",2017,8142.44364
"9",2018,9508.025279
"10",2019,3212.461982
"11",2020,17806.782337
"12",2021,17883.5038
"13",2022,24087.93793
"14",2023,16265.473326
"15",2024,14234.345863
