return_year,total_escapement,total_cwt_recoveries,afc_rate
2019,2486,93.65068493,0.037671233
2020,6336,196.1815976,0.030963005
2021,5462,451.1498804,0.082597928
2022,13712,878.6450605,0.064078549
2023,7580,568.7978315,0.075039292
2024,4947,761.3458256,0.153900511
