ret_yr,a3,a4,a5,a6
2020,109.4,1859.8,1312.8,0
2021,28.34883721,1559.186047,850.4651163,0
2022,0,3476.966292,649.0337079,0
2023,0,1244.6875,462.3125,0
2024,0,1452.089109,124.9108911,0
