"stock","MortType","Catch Year","Recoveries","Ages","AABM.US","AABM.Canada","ISBM.US","ISBM.Canada","Terminal","STRAY","ESCAP","criteria"
"CKO","LC",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","LC",1989,13.2038858741426,"2,3",0,0,30.688134,69.311866,0,0,0,"shade"
"CKO","LC",1990,64.527524670784,"2,3,4",0,53.866722,6.460286,39.672992,0,0,0,"shade"
"CKO","LC",1991,49.1947013859978,"2,3,4,5",5.584256,26.603563,15.550455,52.261726,0,0,0,"shade"
"CKO","LC",1992,16.4138082029612,"2,3,4,5,6",13.688525,15.73675,34.873077,35.701648,0,0,0,"shade"
"CKO","LC",1993,23.4589533997601,"2,3,4,5,6",0,42.619776,5.328456,52.051768,0,0,0,"shade"
"CKO","LC",1994,19.9,"2,3,4,5,6",0,0,0,100,0,0,0,"shade"
"CKO","LC",1995,5.85,"2,3,4,5,6",0,77.777778,22.222222,0,0,0,0,"shade"
"CKO","LC",1996,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",1997,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",1998,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",1999,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2000,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2001,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2002,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2003,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2004,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2005,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2006,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2007,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2008,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2009,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2010,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2011,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2012,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2013,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2014,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2015,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2016,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","LC",2017,1,"2,3,4,5,6",0,0,0,0,0,0,100,"shade"
"CKO","LC",2018,136.572161401716,"2,3,4,5,6",8.917685,3.062913,0,38.609625,0,0,49.409777,"ok"
"CKO","LC",2019,183.306877802613,"2,3,4,5,6",5.073301,0,5.181022,4.386087,0,0,85.35959,"ok"
"CKO","LC",2020,224.078634824916,"2,3,4,5,6",0,0,2.62347,16.146118,0,0,81.230413,"ok"
"CKO","LC",2021,482.415030223366,"2,3,4,5,6",1.376311,0,1.829441,8.461594,0,0,88.332654,"ok"
"CKO","LC",2022,879.595413797969,"2,3,4,5,6",1.909777,0.353825,0.640621,2.959315,0,0,94.136462,"ok"
"CKO","LC",2023,545.37463212377,"2,3,4,5,6",0.269094,0,0.597215,1.591567,0,0,97.542124,"ok"
"CKO","LC",2024,914.817406834653,"3,4,5,6",0,2.481242,1.931081,15.784648,0,0,79.803029,"ok"
"CKO","TM",1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,"omit"
"CKO","TM",1989,22.917750803587,"2,3",0,27.577471,27.462615,44.959914,0,0,0,"shade"
"CKO","TM",1990,76.8982376036071,"2,3,4",0.509219,55.455724,7.467629,36.567428,0,0,0,"shade"
"CKO","TM",1991,54.1014301295458,"2,3,4,5",7.68351,27.7228,16.897427,47.696263,0,0,0,"shade"
"CKO","TM",1992,21.5409685701187,"2,3,4,5,6",17.492746,16.122157,39.177447,27.20765,0,0,0,"shade"
"CKO","TM",1993,27.5593453415435,"2,3,4,5,6",0,48.588876,5.792591,45.618534,0,0,0,"shade"
"CKO","TM",1994,20.4044347758401,"2,3,4,5,6",0,0,0,100,0,0,0,"shade"
"CKO","TM",1995,6.81235292914377,"2,3,4,5,6",0,80.637637,19.082981,0.279382,0,0,0,"shade"
"CKO","TM",1996,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",1997,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",1998,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",1999,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2000,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2001,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2002,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2003,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2004,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2005,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2006,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2007,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2008,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2009,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2010,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2011,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2012,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2013,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2014,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2015,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2016,0,"2,3,4,5,6",NA,NA,NA,NA,NA,NA,NA,"shade"
"CKO","TM",2017,1.00365772950165,"2,3,4,5,6",0,0,0,0.36444,0,0,99.63556,"shade"
"CKO","TM",2018,144.145428723779,"2,3,4,5,6",11.862721,3.605387,0,37.718059,0,0,46.813833,"ok"
"CKO","TM",2019,188.909152005299,"2,3,4,5,6",7.092427,0,5.774703,4.304696,0,0,82.828173,"ok"
"CKO","TM",2020,227.830885956778,"2,3,4,5,6",0,0,4.208246,15.899162,0,0,79.892592,"ok"
"CKO","TM",2021,496.378663261161,"2,3,4,5,6",1.774787,0,2.844269,9.533176,0,0,85.847767,"ok"
"CKO","TM",2022,889.301615050338,"2,3,4,5,6",2.214711,0.529738,0.709976,3.436557,0,0,93.109018,"ok"
"CKO","TM",2023,550.77049878641,"2,3,4,5,6",0.481849,0,0.982449,1.949193,0,0,96.586509,"ok"
"CKO","TM",2024,928.378805382858,"3,4,5,6",0.000149,2.766437,2.235923,16.360194,0,0,78.637297,"ok"
