FisheryFineID,RegTypeID,Finescale_name,finescale_description,FisheryCoarseID,Coarse_description,ERA_fishery_id,ERA_fishery_name,country,fishery_type
1114,,AK NW JUNE TR,ALASKA NW QUADRANT JUNE TROLL,14,Alaska June North Outside Troll,2,AK JNO T,US,pre-terminal
1115,,AK SE JUNE TR,ALASKA SE QUADRANT JUNE TROLL,15,Alaska June South Inside Troll,3,AK JNI T,US,pre-terminal
1116,,AK NE JUNE TR,ALASKA NE QUADRANT JUNE TROLL,16,Alaska June North Inside Troll,3,AK JNI T,US,pre-terminal
1117,,AK SW JULY TR,ALASKA SW QUADRANT JULY TROLL,17,Alaska July South Outside Troll,4,AK JLO T,US,pre-terminal
1118,,AK NW JULY TR,ALASKA NW QUADRANT JULY TROLL,18,Alaska July North Outside Troll,4,AK JLO T,US,pre-terminal
1119,,AK SE JULY TR,ALASKA SE QUADRANT JULY TROLL,19,Alaska July South Inside Troll,5,AK JLI T,US,pre-terminal
1120,,AK NE JULY TR,ALASKA NE QUADRANT JULY TROLL,20,Alaska July North Inside Troll,5,AK JLI T,US,pre-terminal
1121,,AK SW FALL TR,ALASKA SW QUADRANT FALL TROLL,21,Alaska Fall South Outside Troll,6,AK FALL T,US,pre-terminal
1122,,AK NW FALL TR,ALASKA NW QUADRANT FALL TROLL,22,Alaska Fall North Outside Troll,6,AK FALL T,US,pre-terminal
1123,,AK SE FALL TR,ALASKA SE QUADRANT FALL TROLL,23,Alaska Fall South Inside Troll,6,AK FALL T,US,pre-terminal
1124,,AK NE FALL TR,ALASKA NE QUADRANT FALL TROLL,24,Alaska Fall North Inside Troll,6,AK FALL T,US,pre-terminal
1125,,AK 101 NTTR,AK DISTRICT 101 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1126,,AK 102 NTTR,AK DISTRICT 102 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1127,,AK 103 NTTR,AK DISTRICT 103 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1128,,AK 104 NTTR,AK DISTRICT 104 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1129,,AK 105 NTTR,AK DISTRICT 105 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1130,,AK 106 NTTR,AK DISTRICT 106 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1131,,AK 107 NTTR,AK DISTRICT 107 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1132,,AK 108 NTTR,AK DISTRICT 108 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1133,,AK 109 NTTR,AK DISTRICT 109 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1134,,AK 110 NTTR,AK DISTRICT 110 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1135,,AK 111 NTTR,AK DISTRICT 111 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1136,,AK 112 NTTR,AK DISTRICT 112 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1137,,AK 113 NTTR,AK DISTRICT 113 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1138,,AK 114 NTTR,AK DISTRICT 114 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1139,,AK 115 NTTR,AK DISTRICT 115 NEAR TERMINAL TROLL,25,Alaska Near Terminal Troll,7,TAK TERM T,US,terminal
1140,,AK CI TTR,CARROLL INLET TERMINAL TROLL,26,Alaska Terminal Troll,7,TAK TERM T,US,terminal
1141,,AK NB TTR,NEETS BAY TERMINAL TROLL,26,Alaska Terminal Troll,7,TAK TERM T,US,terminal
1142,,AK WN TTR,WRANGELL NARROWS TERM. TROLL,26,Alaska Terminal Troll,7,TAK TERM T,US,terminal
1143,,AK EP TTR,EASTERN PASSAGE TERMINAL TROLL,26,Alaska Terminal Troll,7,TAK TERM T,US,terminal
1144,,AK BS TTR,BLIND SLOUGH TERMINAL TROLL,26,Alaska Terminal Troll,7,TAK TERM T,US,terminal
