"stock","cy","fishery_group","aeq_fishery_group_mort","aeq_total_mort","esc","fishery_group_er","stock_code","display_stock_name"
1,1983,"TWAC FN",0,1789.48846109871,1405,0,"CHI",NA
1,1983,"TWCVI FS",0,1789.48846109871,1405,0,"CHI",NA
1,1983,"TWCVI TERM N",0,1789.48846109871,1405,0,"CHI",NA
1,1983,"TWCVI TERM S",0,1789.48846109871,1405,0,"CHI",NA
1,1983,"US JF N",15.0697808390129,1789.48846109871,1405,0.00471743160838646,"CHI",NA
1,1983,"WA CST N",2.86650704255476,1789.48846109871,1405,0.000897328970651175,"CHI",NA
1,1983,"WCVI AABM S",0.267594949333579,1789.48846109871,1405,8.37676994586929e-05,"CHI",NA
1,1983,"WCVI F/W T",4.70062405874867,1789.48846109871,1405,0.00147147942964613,"CHI",NA
1,1983,"WCVI ISBM S",0,1789.48846109871,1405,0,"CHI",NA
1,1983,"WCVI N",3.24432765900362,1789.48846109871,1405,0.00101560162088917,"CHI",NA
1,1983,"WCVI SPR T",48.11074532169,1789.48846109871,1405,0.0150605475360342,"CHI",NA
1,1983,"WCVI SUM T",177.496995995212,1789.48846109871,1405,0.0555635113905416,"CHI",NA
1,1983,"XCA ESC STRAY",0,1789.48846109871,1405,0,"CHI",NA
1,1983,"XUS ESC STRAY",0,1789.48846109871,1405,0,"CHI",NA
1,1984,"AK FALL T",0.464530795771844,3708.10048865299,941.17,9.99147709098831e-05,"CHI",NA
1,1984,"AK JLI T",0.250741969845766,3708.10048865299,941.17,5.39314652605665e-05,"CHI",NA
1,1984,"AK JLO T",0.559673004423671,3708.10048865299,941.17,0.000120378671404387,"CHI",NA
1,1984,"AK JNI T",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"AK JNO T",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"AK W/S T",0,3708.10048865299,941.17,0,"CHI",NA
1,1984,"ALASKA N",0.000356079812096782,3708.10048865299,941.17,7.65883191708959e-08,"CHI",NA
