SPAWNING_YEAR,SPAWNING_STOCK_NAME,SPECIES_REF_CODE,START_DATE,TOTAL_FEMALE_SPAWNED,TOTAL_FEMALE_SPAWNED_PARTIAL,TOTAL_FEMALE_SPAWNED_RELEASED,TOTAL_FEMALE_SPAWNED_HELD,Measure of Eggs,EGGS_ESTIMATING_METHOD_DISPLAY_VALUE,EGGS_PER_FEMALE,EGGS_UOM_DISPLAY_VALUE,Eggs/100(g/ml),GREEN_EGGS_ESTIMATE,AVERAGE_FECUNDITY
2003,2003 Harrison R Fall Chinook,CN,37917,120,,,,282.7,Volume Method,248,Eggs per 100ml,248,701096,5842
2003,2003 Harrison R Fall Chinook,CN,37921,75,,,,160,Volume Method,226.6667,Eggs per 100ml,226.6667,362667,4836
2003,2003 Harrison R Fall Chinook,CN,37923,25,,,,50,Volume Method,218.6667,Eggs per 100ml,218.6667,109333,4373
2003,2003 Harrison R Fall Chinook,CN,37925,26,,,,55,Volume Method,237,Eggs per 100ml,237,130350,5013
2003,2003 Harrison R Fall Chinook,CN,37930,43,,,,88.5,Volume Method,251.3333,Eggs per 100ml,251.3333,222430,5173
2003,2003 Harrison R Fall Chinook,CN,37932,23,,,,56.5,Volume Method,212,Eggs per 100ml,212,119780,5208
2003,2003 Harrison R Fall Chinook,CN,37935,44,,,,90,Volume Method,214,Eggs per 100ml,214,192600,4377
2003,2003 Harrison R Fall Chinook,CN,37938,27,,,,58,Volume Method,233,Eggs per 100ml,233,135140,5005
2003,2003 Harrison R Fall Chinook,CN,37942,35,,,,66.5,Volume Method,236,Eggs per 100ml,236,156940,4484
2003,2003 Harrison R Fall Chinook,CN,37944,25,,,,44,Volume Method,240,Eggs per 100ml,240,105600,4224
2003,2003 Harrison R Fall Chinook,CN,37946,8,,,,15.9,Volume Method,240,Eggs per 100ml,240,38160,4770
2003,2003 Harrison R Fall Chinook,CN,37949,5,,,,8.3,Volume Method,242,Eggs per 100ml,242,20086,4017
2003,2003 Harrison R Fall Chinook,CN,37951,4,,,,6.5,Volume Method,240,Eggs per 100ml,240,15600,3900
2025,2025 Harrison R Fall Chinook,CN,45950,7,,,,,Weight Method,299.8212,Eggs per 100g,299.8212,32778,4683
2025,2025 Harrison R Fall Chinook,CN,45952,14,,,,,Weight Method,287.5216,Eggs per 100g,287.5216,60771,4341
2025,2025 Harrison R Fall Chinook,CN,45957,35,,,,,Weight Method,293.772,Eggs per 100g,293.772,156458,4470
2025,2025 Harrison R Fall Chinook,CN,45959,25,,,,,Weight Method,274.198,Eggs per 100g,274.198,92567,3703
2025,2025 Harrison R Fall Chinook,CN,45964,28,,,,,Weight Method,271.3704,Eggs per 100g,271.3704,107067,3824
2025,2025 Harrison R Fall Chinook,CN,45966,16,,,,,Weight Method,270.7826,Eggs per 100g,270.7826,66235,4140
2006,2006 Harrison R Fall Chinook,CN,39002,1,,,,,Fecundity Method,4500,Eggs per Female,4500,4500,4500
2006,2006 Harrison R Fall Chinook,CN,39003,7,,,,,Fecundity Method,4500,Eggs per Female,4500,31500,4500
2006,2006 Harrison R Fall Chinook,CN,39006,6,,,,,Fecundity Method,4500,Eggs per Female,4500,27000,4500
2006,2006 Harrison R Fall Chinook,CN,39007,3,,,,,Fecundity Method,4500,Eggs per Female,4500,13500,4500
2006,2006 Harrison R Fall Chinook,CN,39008,3,,,,,Fecundity Method,4500,Eggs per Female,4500,13500,4500
2006,2006 Harrison R Fall Chinook,CN,39009,3,,,,,Fecundity Method,4500,Eggs per Female,4500,13500,4500
2006,2006 Harrison R Fall Chinook,CN,39010,13,,,,,Fecundity Method,4500,Eggs per Female,4500,58500,4500
2006,2006 Harrison R Fall Chinook,CN,39014,4,,,,,Fecundity Method,4500,Eggs per Female,4500,18000,4500
2006,2006 Harrison R Fall Chinook,CN,39015,13,,,,,Fecundity Method,4500,Eggs per Female,4500,58500,4500
2006,2006 Harrison R Fall Chinook,CN,39017,9,,,,,Fecundity Method,4500,Eggs per Female,4500,40500,4500
2006,2006 Harrison R Fall Chinook,CN,39019,2,,,,,Fecundity Method,4500,Eggs per Female,4500,9000,4500
2006,2006 Harrison R Fall Chinook,CN,39020,2,,,,,Fecundity Method,4500,Eggs per Female,4500,9000,4500
2006,2006 Harrison R Fall Chinook,CN,39021,32,,,,,Fecundity Method,4500,Eggs per Female,4500,144000,4500
2006,2006 Harrison R Fall Chinook,CN,39023,1,,,,,Fecundity Method,4500,Eggs per Female,4500,4500,4500
2012,2012 Harrison R Fall Chinook,CN,41200,11,,,,,Fecundity Method,4500,Eggs per Female,4500,49500,4500
2012,2012 Harrison R Fall Chinook,CN,41206,26,,,,,Fecundity Method,4500,Eggs per Female,4500,117000,4500
2012,2012 Harrison R Fall Chinook,CN,41208,24,,,,,Fecundity Method,4500,Eggs per Female,4500,108000,4500
2012,2012 Harrison R Fall Chinook,CN,41211,23,,,,,Fecundity Method,4500,Eggs per Female,4500,103500,4500
2012,2012 Harrison R Fall Chinook,CN,41213,17,,,,,Fecundity Method,4500,Eggs per Female,4500,76500,4500
2009,2009 Harrison R Fall Chinook,CN,40114,14,,,,,Fecundity Method,4500,Eggs per Female,4500,63000,4500
2009,2009 Harrison R Fall Chinook,CN,40116,21,,,,,Fecundity Method,4500,Eggs per Female,4500,94500,4500
2009,2009 Harrison R Fall Chinook,CN,40119,23,,,,,Fecundity Method,4500,Eggs per Female,4500,103500,4500
2009,2009 Harrison R Fall Chinook,CN,40121,18,,,,,Fecundity Method,4500,Eggs per Female,4500,81000,4500
2008,2008 Harrison R Fall Chinook,CN,39741,5,,,,,Fecundity Method,4500,Eggs per Female,4500,22500,4500
