SPAWNING_YEAR,SPAWNING_STOCK_NAME,SPECIES_REF_CODE,START_DATE,TOTAL_FEMALE_SPAWNED,TOTAL_FEMALE_SPAWNED_PARTIAL,TOTAL_FEMALE_SPAWNED_RELEASED,TOTAL_FEMALE_SPAWNED_HELD,Measure of Eggs,EGGS_ESTIMATING_METHOD_DISPLAY_VALUE,EGGS_PER_FEMALE,EGGS_UOM_DISPLAY_VALUE,Eggs/100(g/ml),GREEN_EGGS_ESTIMATE,AVERAGE_FECUNDITY
2008,2008 Harrison R Fall Chinook,CN,39742,20,,,,,Fecundity Method,4500,Eggs per Female,4500,90000,4500
2008,2008 Harrison R Fall Chinook,CN,39743,24,,,,,Fecundity Method,4500,Eggs per Female,4500,108000,4500
2008,2008 Harrison R Fall Chinook,CN,39744,8,,,,,Fecundity Method,4500,Eggs per Female,4500,36000,4500
2008,2008 Harrison R Fall Chinook,CN,39745,13,,,,,Fecundity Method,4500,Eggs per Female,4500,58500,4500
2008,2008 Harrison R Fall Chinook,CN,39748,13,,,,,Fecundity Method,4500,Eggs per Female,4500,58500,4500
2008,2008 Harrison R Fall Chinook,CN,39748,5,,,,,Fecundity Method,4500,Eggs per Female,4500,22500,4500
2008,2008 Harrison R Fall Chinook,CN,39751,1,,,,,Fecundity Method,4500,Eggs per Female,4500,4500,4500
2020,2020 Harrison R Fall Chinook,CN,44120,5,,,,,Weight Method,272.1482,Eggs per 100g,272.1482,23070,4614
2020,2020 Harrison R Fall Chinook,CN,44123,14,,,,,Weight Method,258.2349,Eggs per 100g,258.2349,69961,4997
2020,2020 Harrison R Fall Chinook,CN,44125,23,,,,,Weight Method,307.4833,Eggs per 100g,307.4833,98573,4286
2020,2020 Harrison R Fall Chinook,CN,44127,8,,,,,Weight Method,319.1971,Eggs per 100g,319.1971,37927,4741
2020,2020 Harrison R Fall Chinook,CN,44130,18,,,,,Weight Method,280.5657,Eggs per 100g,280.5657,79257,4403
2020,2020 Harrison R Fall Chinook,CN,44133,12,,,,,Weight Method,288.9572,Eggs per 100g,288.9572,51235,4270
2020,2020 Harrison R Fall Chinook,CN,44139,14,,,,,Weight Method,298.4143,Eggs per 100g,298.4143,65490,4678
2020,2020 Harrison R Fall Chinook,CN,44144,16,,,,,Weight Method,295.7985,Eggs per 100g,295.7985,72515,4532
2004,2004 Harrison R Fall Chinook,CN,38282,74,,,,147.2,Volume Method,241,Eggs per 100ml,241,354752,4794
2004,2004 Harrison R Fall Chinook,CN,38287,180,,,,375.2,Volume Method,234,Eggs per 100ml,234,877968,4878
2004,2004 Harrison R Fall Chinook,CN,38292,115,,,,235,Volume Method,230,Eggs per 100ml,230,540500,4700
2004,2004 Harrison R Fall Chinook,CN,38293,130,,,,267,Volume Method,230,Eggs per 100ml,230,614100,4724
2004,2004 Harrison R Fall Chinook,CN,38296,91,,,,182,Volume Method,230,Eggs per 100ml,230,418600,4600
2004,2004 Harrison R Fall Chinook,CN,38299,34,,,,67.9,Volume Method,230,Eggs per 100ml,230,156170,4593
2004,2004 Harrison R Fall Chinook,CN,38303,10,,,,19,Volume Method,230,Eggs per 100ml,230,43700,4370
2015,2015 Harrison R Fall Chinook,CN,42292,17,,,,,Fecundity Method,4102,Eggs per Female,4102,69734,4102
2015,2015 Harrison R Fall Chinook,CN,42293,19,,,,,Fecundity Method,4102,Eggs per Female,4102,77938,4102
2015,2015 Harrison R Fall Chinook,CN,42296,9,,,,,Fecundity Method,4102,Eggs per Female,4102,36918,4102
2015,2015 Harrison R Fall Chinook,CN,42298,33,,,,,Fecundity Method,4102,Eggs per Female,4102,135366,4102
2015,2015 Harrison R Fall Chinook,CN,42300,19,,,,,Fecundity Method,4102,Eggs per Female,4102,77938,4102
2015,2015 Harrison R Fall Chinook,CN,42303,4,,,,,Fecundity Method,4102,Eggs per Female,4102,16408,4102
2015,2015 Harrison R Fall Chinook,CN,42304,11,,,,,Fecundity Method,4102,Eggs per Female,4102,45122,4102
2015,2015 Harrison R Fall Chinook,CN,42306,15,,,,,Fecundity Method,4102,Eggs per Female,4102,61530,4102
2005,2005 Harrison R Fall Chinook,CN,38650,22,,,,46,Volume Method,239,Eggs per 100ml,239,109940,4997
2005,2005 Harrison R Fall Chinook,CN,38653,24,,,,43,Volume Method,262,Eggs per 100ml,262,112660,4694
2005,2005 Harrison R Fall Chinook,CN,38656,14,,,,14,Volume Method,470,Eggs per 100ml,470,65800,4700
2005,2005 Harrison R Fall Chinook,CN,38658,22,,,,22,Volume Method,470,Eggs per 100ml,470,103400,4700
2005,2005 Harrison R Fall Chinook,CN,38660,10,,,,10,Volume Method,470,Eggs per 100ml,470,47000,4700
2024,2024 Harrison R Fall Chinook,CN,45581,10,,,,,Weight Method,312.0669,Eggs per 100g,312.0669,37763,3776
2024,2024 Harrison R Fall Chinook,CN,45586,14,,,,,Weight Method,325.9288,Eggs per 100g,325.9288,58253,4161
2024,2024 Harrison R Fall Chinook,CN,45588,14,,,,,Weight Method,321.4358,Eggs per 100g,321.4358,56798,4057
2024,2024 Harrison R Fall Chinook,CN,45593,28,,,,,Weight Method,316.9536,Eggs per 100g,316.9536,110546,3948
2024,2024 Harrison R Fall Chinook,CN,45595,21,,,,,Weight Method,332.6385,Eggs per 100g,332.6385,94648,4507
2024,2024 Harrison R Fall Chinook,CN,45600,28,,,,,Weight Method,296.1281,Eggs per 100g,296.1281,127337,4548
2024,2024 Harrison R Fall Chinook,CN,45602,7,,,,,Weight Method,290.7892,Eggs per 100g,290.7892,31472,4496
2023,2023 Harrison R Fall Chinook,CN,45215,9,,,,,Weight Method,314.2958,Eggs per 100g,314.2958,38049,4228
2023,2023 Harrison R Fall Chinook,CN,45219,10,,,,,Weight Method,341.0842,Eggs per 100g,341.0842,47997,4800
2023,2023 Harrison R Fall Chinook,CN,45224,28,,,,,Weight Method,302.5685,Eggs per 100g,302.5685,119725,4276
2023,2023 Harrison R Fall Chinook,CN,45230,20,,,,,Weight Method,318.0219,Eggs per 100g,318.0219,80920,4046
2023,2023 Harrison R Fall Chinook,CN,45232,15,,,,,Weight Method,312.8674,Eggs per 100g,312.8674,61991,4133
2023,2023 Harrison R Fall Chinook,CN,45236,30,,,,,Weight Method,306.2235,Eggs per 100g,306.2235,133098,4437
2023,2023 Harrison R Fall Chinook,CN,45240,8,,,,,Weight Method,294.9265,Eggs per 100g,294.9265,32324,4041
2019,2019 Harrison R Fall Chinook,CN,43756,7,,,,,Weight Method,338.9495,Eggs per 100g,338.9495,28480,4069
2019,2019 Harrison R Fall Chinook,CN,43760,16,,,,,Weight Method,292.967,Eggs per 100g,292.967,61680,3855
2019,2019 Harrison R Fall Chinook,CN,43763,28,,,,,Weight Method,308.2317,Eggs per 100g,308.2317,116344,4155
2019,2019 Harrison R Fall Chinook,CN,43767,12,,,,,Weight Method,290.9031,Eggs per 100g,290.9031,51211,4268
2019,2019 Harrison R Fall Chinook,CN,43770,18,,,,,Weight Method,306.4533,Eggs per 100g,306.4533,70541,3919
2019,2019 Harrison R Fall Chinook,CN,43773,13,,,,,Weight Method,279.0226,Eggs per 100g,279.0226,51538,3964
2019,2019 Harrison R Fall Chinook,CN,43777,15,,,,,Weight Method,280.3273,Eggs per 100g,280.3273,69736,4649
2019,2019 Harrison R Fall Chinook,CN,43782,15,,,,,Weight Method,291.2442,Eggs per 100g,291.2442,64845,4323
2014,2014 Harrison R Fall Chinook,CN,41929,22,,,,,Fecundity Method,4431,Eggs per Female,4431,97482,4431
2014,2014 Harrison R Fall Chinook,CN,41933,18,,,,,Fecundity Method,4431,Eggs per Female,4431,79758,4431
2014,2014 Harrison R Fall Chinook,CN,41935,26,,,,,Fecundity Method,4431,Eggs per Female,4431,115206,4431
2014,2014 Harrison R Fall Chinook,CN,41936,9,,,,,Fecundity Method,4431,Eggs per Female,4431,39879,4431
2014,2014 Harrison R Fall Chinook,CN,41940,19,,,,,Fecundity Method,4431,Eggs per Female,4431,84189,4431
2014,2014 Harrison R Fall Chinook,CN,41942,18,,,,,Fecundity Method,4431,Eggs per Female,4431,79758,4431
2022,2022 Harrison R Fall Chinook,CN,44852,7,,,,,Weight Method,339.2373,Eggs per 100g,339.2373,28394,4056
2022,2022 Harrison R Fall Chinook,CN,44854,6,,,,,Weight Method,317.3578,Eggs per 100g,317.3578,26927,4488
2022,2022 Harrison R Fall Chinook,CN,44858,30,,,,,Weight Method,316.671,Eggs per 100g,316.671,127387,4246
2022,2022 Harrison R Fall Chinook,CN,44861,33,,,,,Weight Method,302.3161,Eggs per 100g,302.3161,134470,4075
2022,2022 Harrison R Fall Chinook,CN,44867,36,,,,,Weight Method,320.9544,Eggs per 100g,320.9544,157740,4382
2022,2022 Harrison R Fall Chinook,CN,44872,6,,,,,Weight Method,308.7679,Eggs per 100g,308.7679,24375,4063
2011,2011 Harrison R Fall Chinook,CN,40830,7,,,,,Fecundity Method,4500,Eggs per Female,4500,31500,4500
2011,2011 Harrison R Fall Chinook,CN,40833,13,,,,,Fecundity Method,4500,Eggs per Female,4500,58500,4500
2011,2011 Harrison R Fall Chinook,CN,40836,18,,,,,Fecundity Method,4500,Eggs per Female,4500,81000,4500
2011,2011 Harrison R Fall Chinook,CN,40840,15,,,,,Fecundity Method,4500,Eggs per Female,4500,67500,4500
2011,2011 Harrison R Fall Chinook,CN,40842,23,,,,,Fecundity Method,4500,Eggs per Female,4500,103500,4500
2011,2011 Harrison R Fall Chinook,CN,40844,36,,,,,Fecundity Method,4500,Eggs per Female,4500,162000,4500
2021,2021 Harrison R Fall Chinook,CN,44484,5,,,,,Weight Method,246.9514,Eggs per 100g,246.9514,21100,4220
2021,2021 Harrison R Fall Chinook,CN,44488,13,2,,,,Weight Method,310.0155,Eggs per 100g,310.0155,56055,3737
2021,2021 Harrison R Fall Chinook,CN,44490,17,,,,,Weight Method,291.3347,Eggs per 100g,291.3347,71315,4195
2021,2021 Harrison R Fall Chinook,CN,44495,23,1,,,,Weight Method,307.3322,Eggs per 100g,307.3322,88104,3671
2021,2021 Harrison R Fall Chinook,CN,44497,17,,,,,Weight Method,312.5369,Eggs per 100g,312.5369,63546,3738
2021,2021 Harrison R Fall Chinook,CN,44502,26,,,,,Weight Method,313.5944,Eggs per 100g,313.5944,104728,4028
2021,2021 Harrison R Fall Chinook,CN,44504,14,,,,,Weight Method,290.827,Eggs per 100g,290.827,61194,4371
2021,2021 Harrison R Fall Chinook,CN,44508,9,,,,,Weight Method,306.6724,Eggs per 100g,306.6724,39204,4356
2016,2016 Harrison R Fall Chinook,CN,42660,18,,,,,Weight Method,278.0312,Eggs per 100g,278.0312,89709,4984
2016,2016 Harrison R Fall Chinook,CN,42661,13,,,,,Weight Method,278.0312,Eggs per 100g,278.0312,65229,5018
2016,2016 Harrison R Fall Chinook,CN,42663,13,,,,,Weight Method,267.3579,Eggs per 100g,267.3579,62091,4776
2016,2016 Harrison R Fall Chinook,CN,42663,12,,,,,Weight Method,278.0312,Eggs per 100g,278.0312,52593,4383
2016,2016 Harrison R Fall Chinook,CN,42667,18,,,,,Weight Method,274.6146,Eggs per 100g,274.6146,82906,4606
2016,2016 Harrison R Fall Chinook,CN,42667,8,,,,,Weight Method,267.3579,Eggs per 100g,267.3579,33614,4202
2016,2016 Harrison R Fall Chinook,CN,42668,4,,,,,Weight Method,274.6146,Eggs per 100g,274.6146,20485,5121
2016,2016 Harrison R Fall Chinook,CN,42669,11,,,,,Weight Method,274.6146,Eggs per 100g,274.6146,50125,4557
2016,2016 Harrison R Fall Chinook,CN,42669,7,,,,,Weight Method,280.6914,Eggs per 100g,280.6914,32091,4584
2017,2017 Harrison R Fall Chinook,CN,43027,16,,,,,Fecundity Method,3610,Eggs per Female,3610,57760,3610
2017,2017 Harrison R Fall Chinook,CN,43031,18,,,,,Fecundity Method,4045,Eggs per Female,4045,72810,4045
2017,2017 Harrison R Fall Chinook,CN,43032,3,,,,,Fecundity Method,3896,Eggs per Female,3896,11688,3896
2017,2017 Harrison R Fall Chinook,CN,43034,14,,,,,Fecundity Method,3870,Eggs per Female,3870,54180,3870
2017,2017 Harrison R Fall Chinook,CN,43035,29,,,,,Fecundity Method,3755,Eggs per Female,3755,108895,3755
2017,2017 Harrison R Fall Chinook,CN,43038,28,,,,,Fecundity Method,3533,Eggs per Female,3533,98924,3533
2017,2017 Harrison R Fall Chinook,CN,43040,12,,,,,Fecundity Method,4226,Eggs per Female,4226,50712,4226
2017,2017 Harrison R Fall Chinook,CN,43045,13,,,,,Fecundity Method,4558,Eggs per Female,4558,59254,4558
2018,2018 Harrison R Fall Chinook,CN,43388,8,,,,,Weight Method,302.4172,Eggs per 100g,302.4172,31529,3941
2018,2018 Harrison R Fall Chinook,CN,43391,13,,,,,Weight Method,324.9981,Eggs per 100g,324.9981,54224,4171
2018,2018 Harrison R Fall Chinook,CN,43392,12,,,,,Weight Method,302.7734,Eggs per 100g,302.7734,47935,3995
2018,2018 Harrison R Fall Chinook,CN,43395,13,,,,,Weight Method,302.9652,Eggs per 100g,302.9652,50787,3907
2018,2018 Harrison R Fall Chinook,CN,43397,35,,,,,Weight Method,303.5393,Eggs per 100g,303.5393,136667,3905
2018,2018 Harrison R Fall Chinook,CN,43399,13,,,,,Weight Method,320.5187,Eggs per 100g,320.5187,53174,4090
2018,2018 Harrison R Fall Chinook,CN,43402,19,,,,,Fecundity Method,4259,Eggs per Female,4259,80921,4259
2018,2018 Harrison R Fall Chinook,CN,43405,9,,,,,Fecundity Method,3440,Eggs per Female,3440,30960,3440
2002,2002 Harrison R Fall Chinook,CN,37551,80,,,,150.8,Volume Method,245,Eggs per 100ml,245,369460,4618
2002,2002 Harrison R Fall Chinook,CN,37553,23,,,,45.4,Volume Method,245,Eggs per 100ml,245,111230,4836
2002,2002 Harrison R Fall Chinook,CN,37554,10,,,,21.25,Volume Method,245,Eggs per 100ml,245,52063,5206
2002,2002 Harrison R Fall Chinook,CN,37557,68,,,,120.8,Volume Method,245,Eggs per 100ml,245,295960,4352
2002,2002 Harrison R Fall Chinook,CN,37559,20,,,,36.3,Volume Method,245,Eggs per 100ml,245,88935,4447
2002,2002 Harrison R Fall Chinook,CN,37561,24,,,,38.9,Volume Method,245,Eggs per 100ml,245,95305,3971
2002,2002 Harrison R Fall Chinook,CN,37564,126,,,,235.05,Volume Method,245,Eggs per 100ml,245,575873,4570
2002,2002 Harrison R Fall Chinook,CN,37567,74,,,,138.2,Volume Method,245,Eggs per 100ml,245,338590,4576
2002,2002 Harrison R Fall Chinook,CN,37572,51,,,,80.4,Volume Method,245,Eggs per 100ml,245,196980,3862
2002,2002 Harrison R Fall Chinook,CN,37573,71,,,,126.05,Volume Method,245,Eggs per 100ml,245,308823,4350
2002,2002 Harrison R Fall Chinook,CN,37574,15,,,,30,Volume Method,245,Eggs per 100ml,245,73500,4900
2002,2002 Harrison R Fall Chinook,CN,37575,11,,,,19,Volume Method,245,Eggs per 100ml,245,46550,4232
2002,2002 Harrison R Fall Chinook,CN,37578,6,,,,9.2,Volume Method,245,Eggs per 100ml,245,22540,3757
2002,2002 Harrison R Fall Chinook,CN,37580,1,,,,1.8,Volume Method,245,Eggs per 100ml,245,4410,4410
2002,2002 Harrison R Fall Chinook,CN,37582,4,,,,7.2,Volume Method,245,Eggs per 100ml,245,17640,4410
2010,2010 Harrison R Fall Chinook,CN,40480,19,,,,,Weight Method,258,Eggs per 100g,258,77916,4101
2010,2010 Harrison R Fall Chinook,CN,40485,21,,,,,Weight Method,258,Eggs per 100g,258,89268,4251
2010,2010 Harrison R Fall Chinook,CN,40487,7,,,,,Weight Method,258,Eggs per 100g,258,30960,4423
2010,2010 Harrison R Fall Chinook,CN,40492,7,,,,,Weight Method,258,Eggs per 100g,258,32250,4607
2010,2010 Harrison R Fall Chinook,CN,40497,9,,,,,Weight Method,258,Eggs per 100g,258,38700,4300
2007,2007 Harrison R Fall Chinook,CN,39374,12,,,,,Fecundity Method,4500,Eggs per Female,4500,54000,4500
2007,2007 Harrison R Fall Chinook,CN,39376,2,,,,,Fecundity Method,4500,Eggs per Female,4500,9000,4500
2007,2007 Harrison R Fall Chinook,CN,39378,17,,,,,Fecundity Method,4500,Eggs per Female,4500,76500,4500
2007,2007 Harrison R Fall Chinook,CN,39379,15,,,,,Fecundity Method,4500,Eggs per Female,4500,67500,4500
2007,2007 Harrison R Fall Chinook,CN,39380,4,,,,,Fecundity Method,4500,Eggs per Female,4500,18000,4500
2007,2007 Harrison R Fall Chinook,CN,39381,20,,,,,Fecundity Method,4500,Eggs per Female,4500,90000,4500
2007,2007 Harrison R Fall Chinook,CN,39384,9,,,,,Fecundity Method,4500,Eggs per Female,4500,40500,4500
2007,2007 Harrison R Fall Chinook,CN,39385,4,,,,,Fecundity Method,4500,Eggs per Female,4500,18000,4500
2007,2007 Harrison R Fall Chinook,CN,39386,4,,,,,Fecundity Method,4500,Eggs per Female,4500,18000,4500
2007,2007 Harrison R Fall Chinook,CN,39387,9,,,,,Fecundity Method,4500,Eggs per Female,4500,40500,4500
2013,2013 Harrison R Fall Chinook,CN,41569,12,,,,,Fecundity Method,4431,Eggs per Female,4431,53172,4431
2013,2013 Harrison R Fall Chinook,CN,41570,10,,,,,Fecundity Method,4431,Eggs per Female,4431,44310,4431
2013,2013 Harrison R Fall Chinook,CN,41572,24,,,,,Fecundity Method,4431,Eggs per Female,4431,106344,4431
2013,2013 Harrison R Fall Chinook,CN,41576,26,,,,,Fecundity Method,4431,Eggs per Female,4431,115206,4431
2013,2013 Harrison R Fall Chinook,CN,41578,15,,,,,Fecundity Method,4431,Eggs per Female,4431,66467,4431
2013,2013 Harrison R Fall Chinook,CN,41579,8,,,,,Fecundity Method,4431,Eggs per Female,4431,35448,4431
2013,2013 Harrison R Fall Chinook,CN,41582,3,,,,,Fecundity Method,4431,Eggs per Female,4431,13296,4432
