"stock","MortType","Catch.Year","FisheryGroup","CYER"
"DOM","LC",1991,"AABM.CA",0
"DOM","LC",1991,"AABM.US",0
"DOM","LC",1991,"ISBM.CA",17.006804
"DOM","LC",1991,"ISBM.US",13.605442
"DOM","LC",1991,"Terminal.SEAK",0
"DOM","LC",1992,"AABM.CA",3.821656
"DOM","LC",1992,"AABM.US",0
"DOM","LC",1992,"ISBM.CA",57.324841
"DOM","LC",1992,"ISBM.US",7.006369
"DOM","LC",1992,"Terminal.SEAK",0
"DOM","LC",1993,"AABM.CA",2.601156
"DOM","LC",1993,"AABM.US",0
"DOM","LC",1993,"ISBM.CA",61.560693
"DOM","LC",1993,"ISBM.US",1.445087
"DOM","LC",1993,"Terminal.SEAK",0
"DOM","LC",1994,"AABM.CA",1.355932
"DOM","LC",1994,"AABM.US",0.677966
"DOM","LC",1994,"ISBM.CA",30.169491
"DOM","LC",1994,"ISBM.US",0
"DOM","LC",1994,"Terminal.SEAK",0
"DOM","LC",1995,"AABM.CA",1.747573
"DOM","LC",1995,"AABM.US",0
"DOM","LC",1995,"ISBM.CA",29.320388
"DOM","LC",1995,"ISBM.US",1.359224
"DOM","LC",1995,"Terminal.SEAK",0
"DOM","LC",1996,"AABM.CA",0
"DOM","LC",1996,"AABM.US",0
"DOM","LC",1996,"ISBM.CA",48.285714
"DOM","LC",1996,"ISBM.US",1.428571
"DOM","LC",1996,"Terminal.SEAK",0
"DOM","LC",1997,"AABM.CA",0.949367
"DOM","LC",1997,"AABM.US",0
"DOM","LC",1997,"ISBM.CA",44.936709
"DOM","LC",1997,"ISBM.US",2.531646
"DOM","LC",1997,"Terminal.SEAK",0
"DOM","LC",1998,"AABM.CA",0
"DOM","LC",1998,"AABM.US",0
"DOM","LC",1998,"ISBM.CA",55.263158
"DOM","LC",1998,"ISBM.US",0
"DOM","LC",1998,"Terminal.SEAK",0
"DOM","LC",2001,"AABM.CA",1.993355
"DOM","LC",2001,"AABM.US",0
"DOM","LC",2001,"ISBM.CA",76.079734
"DOM","LC",2001,"ISBM.US",0.332226
"DOM","LC",2001,"Terminal.SEAK",0
"DOM","LC",2002,"AABM.CA",23.30827
"DOM","LC",2002,"AABM.US",0
"DOM","LC",2002,"ISBM.CA",30.827067
"DOM","LC",2002,"ISBM.US",3.759398
"DOM","LC",2002,"Terminal.SEAK",0
