SMU,stock,year,fish,fecundity,n_sampled
sp_12,Nicola,2022,39,3704.243047,1
sp_12,Nicola,2022,40,3552.527473,1
sp_12,Nicola,2022,41,4829.504792,1
sp_12,Nicola,2022,42,3623,1
sp_12,Nicola,2022,43,3024.462687,1
sp_12,Nicola,2022,44,3620.433584,1
sp_12,Nicola,2022,45,3695.763819,1
sp_12,Nicola,2022,46,3260.3466,1
sp_12,Nicola,2022,47,2565.920245,1
sp_12,Nicola,2022,48,3505.345165,1
sp_12,Nicola,2022,49,3339.227273,1
sp_12,Nicola,2022,50,3534.14554,1
sp_12,Nicola,2022,51,3948.851852,1
sp_12,Nicola,2022,52,3125.458333,1
sp_12,Nicola,2022,53,4208.335753,1
sp_12,Nicola,2022,54,3632.423729,1
sp_12,Nicola,2022,55,3969.380117,1
sp_12,Nicola,2022,56,3643.789182,1
sp_12,Nicola,2022,57,3678.190926,1
sp_12,Nicola,2022,58,3493.887218,1
sp_12,Nicola,2022,59,3901.07947,1
sp_12,Nicola,2022,60,3712.069767,1
sp_12,Nicola,2022,61,3499.509061,1
sp_12,Nicola,2022,62,3660.939481,1
sp_12,Nicola,2022,63,3044.45283,1
sp_12,Nicola,2022,64,3062.816024,1
sp_12,Nicola,2022,65,3641.395349,1
sp_12,Nicola,2022,66,3789.595469,1
sp_12,Nicola,2022,67,3778.291465,1
sp_12,Nicola,2022,68,3701.894428,1
sp_12,Nicola,2022,69,4629.327796,1
sp_12,Nicola,2022,70,3522.932584,1
sp_12,Nicola,2022,71,4068.502304,1
sp_12,Nicola,2022,72,3117.396135,1
sp_12,Nicola,2022,73,4259.716088,1
sp_12,Nicola,2022,74,2695.339943,1
sp_12,Nicola,2023,1,3834.089013,1
sp_12,Nicola,2023,2,2492.799564,1
sp_12,Nicola,2023,3,3340.964578,1
sp_12,Nicola,2023,4,3848.130719,1
sp_12,Nicola,2023,5,3479.032448,1
sp_12,Nicola,2023,6,2905.382848,1
sp_12,Nicola,2023,7,3110.286822,1
sp_12,Nicola,2023,8,3466.207373,1
sp_12,Nicola,2023,9,2819.619048,1
sp_12,Nicola,2023,10,3300.326241,1
sp_12,Nicola,2023,11,3107.146893,1
sp_12,Nicola,2023,12,3060.037037,1
sp_12,Nicola,2023,13,3249.337517,1
sp_12,Nicola,2023,14,3091.194107,1
sp_12,Nicola,2023,15,4055.782609,1
sp_12,Nicola,2023,16,3113.727273,1
sp_12,Nicola,2023,17,2974.933054,1
sp_12,Nicola,2023,18,2705.368876,1
sp_12,Nicola,2023,19,3079.75076,1
sp_12,Nicola,2023,20,4380.475728,1
sp_12,Nicola,2023,21,4254.760479,1
sp_12,Nicola,2023,22,3208.183976,1
sp_12,Nicola,2023,23,2865.237624,1
sp_12,Nicola,2023,24,3398.508772,1
sp_12,Nicola,2023,25,2066.473258,1
sp_12,Nicola,2023,26,2850.232804,1
sp_12,Nicola,2023,27,3154.856816,1
sp_12,Nicola,2023,28,3112.821946,1
sp_12,Nicola,2023,29,4091.681818,1
sp_12,Nicola,2023,30,3627.697174,1
sp_12,Nicola,2023,31,3372.436242,1
sp_12,Nicola,2023,32,3008.175299,1
sp_12,Nicola,2023,33,3223.529412,1
sp_12,Nicola,2023,34,1993.307692,1
sp_12,Nicola,2023,35,2650.620253,1
sp_12,Nicola,2023,36,2429.015707,1
sp_12,Nicola,2023,37,3400.39782,1
sp_12,Nicola,2023,38,2831.601164,1
sp_12,Nicola,2023,39,3247.051051,1
sp_12,Nicola,2023,40,2512.74224,1
sp_12,Nicola,2023,41,3066.810298,1
sp_12,Nicola,2023,42,3575.619048,1
sp_12,Nicola,2023,43,3368.937173,1
sp_12,Nicola,2023,44,2460.549391,1
sp_12,Nicola,2023,45,2570.620981,1
sp_12,Nicola,2023,46,3060.163205,1
sp_12,Nicola,2023,47,2517.510067,1
sp_12,Nicola,2023,48,4150.167053,1
sp_12,Nicola,2023,49,3041.021978,1
sp_12,Nicola,2023,50,2955.308943,1
sp_12,Nicola,2023,51,3031.540264,1
sp_12,Nicola,2023,52,3546.428571,1
sp_12,Nicola,2023,53,3454.494226,1
sp_12,Nicola,2023,54,4083.930197,1
sp_12,Nicola,2023,55,2600.080444,1
sp_12,Nicola,2023,56,2466.244275,1
sp_12,Nicola,2023,57,3099.825397,1
sp_12,Nicola,2023,58,3947.004484,1
sp_12,Nicola,2023,59,2537.274336,1
sp_12,Nicola,2023,60,4070.386064,1
sp_12,Nicola,2023,61,1703.135508,1
sp_12,Nicola,2023,62,4041.094778,1
sp_12,Nicola,2023,63,3269.074271,1
sp_12,Nicola,2023,64,3125.076142,1
sp_12,Nicola,2023,65,3338.252319,1
sp_12,Nicola,2023,66,3682.130178,1
sp_12,Nicola,2023,67,2959.176935,1
sp_12,Nicola,2023,68,4159,1
sp_12,Nicola,2023,69,4108.627792,1
sp_12,Nicola,2023,70,2762.230769,1
sp_12,Nicola,2023,71,3425.479714,1
sp_12,Nicola,2023,72,3718.039301,1
sp_12,Nicola,2023,73,2853.20765,1
sp_12,Nicola,2024,1,4144.666667,1
sp_12,Nicola,2024,2,3330.94709,1
sp_12,Nicola,2024,3,3727.565495,1
sp_12,Nicola,2024,4,3697.185185,1
sp_12,Nicola,2024,5,2644.109557,1
sp_12,Nicola,2024,6,4887.336748,1
sp_12,Nicola,2024,7,3052.521327,1
sp_12,Nicola,2024,8,3188.747989,1
sp_12,Nicola,2024,9,2714.408284,1
sp_12,Nicola,2024,10,3443.651685,1
sp_12,Nicola,2024,11,3853.465776,1
sp_12,Nicola,2024,12,2466.281493,1
sp_12,Nicola,2024,13,2454.379747,1
sp_12,Nicola,2024,14,4024.903226,1
sp_12,Nicola,2024,15,3304.941748,1
sp_12,Nicola,2024,16,2622.155779,1
sp_12,Nicola,2024,17,2780.666667,1
sp_12,Nicola,2024,18,3488.074236,1
sp_12,Nicola,2024,19,3580.432024,1
sp_12,Nicola,2024,20,2896.558528,1
sp_12,Nicola,2024,21,1651.967033,1
sp_12,Nicola,2024,22,2332.237519,1
sp_12,Nicola,2024,23,2464.170897,1
sp_12,Nicola,2024,24,1855.297872,1
sp_12,Nicola,2024,25,3268.082192,1
sp_12,Nicola,2024,26,3961.432749,1
sp_12,Nicola,2024,27,3022.290323,1
sp_12,Nicola,2024,28,3297.457232,1
sp_12,Nicola,2024,29,3069.646617,1
sp_12,Nicola,2024,30,2420.943197,1
sp_12,Nicola,2024,31,3657.870428,1
sp_12,Nicola,2024,32,2364.706037,1
sp_12,Nicola,2024,33,3604.337784,1
sp_12,Nicola,2024,34,3197.692308,1
sp_12,Nicola,2024,35,3928.362989,1
sp_12,Nicola,2024,36,3164.757576,1
sp_12,Nicola,2024,37,3251.951432,1
sp_12,Nicola,2024,38,2968.050228,1
sp_12,Nicola,2024,39,1787.414966,1
sp_12,Nicola,2024,40,3714.634731,1
sp_12,Nicola,2024,41,3560.130081,1
sp_12,Nicola,2024,42,4617.511822,1
sp_12,Nicola,2024,43,3218.951049,1
sp_12,Nicola,2024,44,3150.490798,1
sp_12,Nicola,2024,45,3064.843137,1
sp_12,Nicola,2024,46,3851.115433,1
sp_12,Nicola,2024,47,2725.718795,1
sp_12,Nicola,2024,48,3607.363636,1
sp_12,Nicola,2024,49,3261.734104,1
sp_12,Nicola,2024,50,4792.089552,1
sp_12,Nicola,2024,51,2767.666667,1
sp_12,Nicola,2024,52,4293.760108,1
sp_12,Nicola,2024,53,4409.615588,1
sp_12,Nicola,2024,54,3445.465116,1
sp_12,Nicola,2024,55,3262.371747,1
sp_12,Nicola,2024,56,3776.752275,1
sp_12,Nicola,2024,57,1875.711864,1
sp_12,Nicola,2024,58,3262.312169,1
sp_12,Nicola,2024,59,3688.219686,1
sp_12,Nicola,2024,60,2975.005362,1
sp_12,Nicola,2024,61,3820.894804,1
sp_12,Nicola,2024,62,2996.158416,1
sp_12,Nicola,2024,63,2718.721893,1
sp_12,Nicola,2024,64,3522.860182,1
sp_12,Nicola,2024,65,3359.045045,1
sp_12,Nicola,2024,66,3868.376499,1
sp_12,Nicola,2024,67,2488.359721,1
sp_12,Nicola,2024,68,4002.598338,1
sp_12,Nicola,2024,69,3570.154472,1
sp_12,Nicola,2024,70,2838.804062,1
sp_12,Nicola,2024,71,3343.884176,1
sp_12,Nicola,2024,72,2625.870968,1
sp_12,Nicola,2024,73,4194.649351,1
sp_12,Nicola,2024,74,3128.503506,1
sp_12,Nicola,2024,75,2666.481808,1
sp_12,Nicola,2024,76,2830.016413,1
sp_12,Nicola,2024,77,3678.777778,1
sp_12,Nicola,2024,78,3832.934579,1
sp_12,Nicola,2024,79,2402.606789,1
sp_12,Nicola,2024,80,3031.256039,1
sp_12,Nicola,2024,81,3526.662921,1
sp_12,Nicola,2024,82,2754.423729,1
sp_12,Nicola,2024,83,2946.791086,1
sp_12,Nicola,2024,84,2813.645161,1
sp_12,Nicola,2024,85,4140.582343,1
sp_12,Nicola,2024,86,4307.188256,1
sp_12,Nicola,2024,87,3642.666667,1
sp_12,Nicola,2024,88,3987.729494,1
sp_12,Nicola,2024,89,3594.274809,1
su_13,Chilko,2021,1,3993.827586,1
su_13,Chilko,2021,2,3825.520816,1
su_13,Chilko,2021,3,5032.050733,1
su_13,Chilko,2021,4,4916.060403,1
su_13,Chilko,2021,5,5281.607843,1
su_13,Chilko,2021,6,3889.286432,1
su_13,Chilko,2021,7,1494.425339,1
su_13,Chilko,2021,8,2003.797682,1
su_13,Chilko,2021,9,2565.766784,1
su_13,Chilko,2021,10,5435.155378,1
su_13,Chilko,2021,11,2992.479675,1
su_13,Chilko,2021,12,2393.249158,1
su_13,Chilko,2021,13,3001.939783,1
su_13,Chilko,2021,14,2337.581888,1
su_13,Chilko,2021,15,2283.808219,1
su_13,Chilko,2021,16,2120.102307,1
su_13,Chilko,2021,17,3926.43299,1
su_13,Chilko,2021,18,3223.90998,1
su_13,Chilko,2021,19,2861.495798,1
su_13,Chilko,2021,20,2221.562324,1
su_13,Chilko,2021,21,4525.986301,1
su_13,Chilko,2021,22,2805.436742,1
su_13,Chilko,2021,23,4416.510917,1
su_13,Chilko,2021,24,4927.518248,1
su_13,Chilko,2021,25,1521.547886,1
su_13,Chilko,2021,26,3066.432662,1
su_13,Chilko,2021,27,3660.79113,1
su_13,Chilko,2021,28,4252.03663,1
su_13,Chilko,2021,29,4862.845468,1
su_13,Chilko,2021,30,6099.838678,1
su_13,Chilko,2021,31,4321.714286,1
su_13,Chilko,2021,32,4221.164659,1
su_13,Chilko,2021,33,3895.799486,1
su_13,Chilko,2021,34,3332.898955,1
su_13,Chilko,2021,35,4528.214442,1
su_13,Chilko,2021,36,4778.616225,1
su_13,Chilko,2021,37,3577.595745,1
su_13,Chilko,2021,38,5748.121437,1
su_13,Chilko,2021,39,3874.816092,1
su_13,Chilko,2021,40,5402.929204,1
su_13,Chilko,2021,41,6077.615385,1
su_13,Chilko,2021,42,5359.333333,1
su_13,Chilko,2021,43,2881.537678,1
su_13,Chilko,2021,44,4357.501427,1
su_13,Chilko,2021,45,5746.045198,1
su_13,Chilko,2021,46,4375.722017,1
su_13,Chilko,2021,47,4144.111111,1
su_13,Chilko,2021,48,2493.748593,1
su_13,Chilko,2022,1,655.459144,1
su_13,Chilko,2022,2,4398.989605,1
su_13,Chilko,2022,3,1918.704715,1
su_13,Chilko,2022,4,3604.26087,1
su_13,Chilko,2022,5,2684.509653,1
su_13,Chilko,2022,6,5173.675676,1
su_13,Chilko,2022,7,2338.915663,1
su_13,Chilko,2022,8,5294.795918,1
su_13,Chilko,2022,9,5260.204263,1
su_13,Chilko,2022,10,2525.31031,1
su_13,Chilko,2022,11,5439.229008,1
su_13,Chilko,2022,12,4104.854484,1
su_13,Chilko,2022,13,5075.161677,1
su_13,Chilko,2022,14,4712.338403,1
su_13,Chilko,2022,15,4260.252101,1
su_13,Chilko,2022,16,3901.743938,1
su_13,Chilko,2022,17,3463.001591,1
su_13,Chilko,2022,18,3302.530612,1
su_13,Chilko,2022,19,5966.435233,1
su_13,Chilko,2022,20,7023.81736,1
su_13,Chilko,2022,21,3498.105263,1
su_13,Chilko,2022,22,3296.105263,1
su_13,Chilko,2022,23,4954.183432,1
su_13,Chilko,2022,24,3133.656992,1
su_13,Chilko,2022,25,4389.774194,1
su_13,Chilko,2022,26,5220.147623,1
su_13,Chilko,2022,27,3809.303769,1
su_13,Chilko,2022,28,5207.502296,1
su_13,Chilko,2022,29,5795.735849,1
su_13,Chilko,2022,30,5875.041731,1
su_13,Chilko,2022,31,4688.622378,1
su_13,Chilko,2022,32,5754.649635,1
su_13,Chilko,2022,33,4691.524272,1
su_13,Chilko,2022,34,4691.288026,1
su_13,Chilko,2022,35,3506.229617,1
su_13,Chilko,2022,36,5360.086164,1
su_13,Chilko,2022,37,5532.711809,1
su_13,Chilko,2022,38,4733.427912,1
su_13,Chilko,2022,39,4578.024876,1
su_13,Chilko,2022,40,2448.491039,1
su_13,Chilko,2022,41,3519.377574,1
su_13,Chilko,2022,42,4661.121951,1
su_13,Chilko,2022,43,2884.677725,1
su_13,Chilko,2022,44,5547.050401,1
su_13,Chilko,2022,45,4090.909091,1
su_13,Chilko,2022,46,5171.18543,1
su_13,Chilko,2022,47,3661.530553,1
su_13,Chilko,2022,48,5081.242054,1
su_13,Chilko,2023,1,4914.032371,1
su_13,Chilko,2023,2,3363.46789,1
su_13,Chilko,2023,3,1728.189241,1
su_13,Chilko,2023,4,2000.89781,1
su_13,Chilko,2023,5,1638.307692,1
su_13,Chilko,2023,6,1808.76085,1
su_13,Chilko,2023,7,4402.16768,1
su_13,Chilko,2023,8,2985.408568,1
su_13,Chilko,2023,9,2253.993699,1
su_13,Chilko,2023,10,4209.988048,1
su_13,Chilko,2023,11,5569.354554,1
su_13,Chilko,2023,12,2579.203523,1
su_13,Chilko,2023,13,3088.490975,1
su_13,Chilko,2023,14,4744.133005,1
su_13,Chilko,2023,15,5843,1
su_13,Chilko,2023,16,4960.791702,1
su_13,Chilko,2023,17,2722.571429,1
su_13,Chilko,2023,18,4308.581179,1
su_13,Chilko,2023,19,4073.012357,1
su_13,Chilko,2023,20,5086.899563,1
su_13,Chilko,2023,21,5361.242304,1
su_13,Chilko,2023,22,5390.408408,1
su_13,Chilko,2023,23,5433.237537,1
su_13,Chilko,2023,24,3822.891519,1
su_13,Chilko,2023,25,6135.642229,1
su_13,Chilko,2023,26,5072.488444,1
su_13,Chilko,2023,27,4549.825137,1
su_13,Chilko,2023,28,2876.204301,1
su_13,Chilko,2023,29,7360.992908,1
su_13,Chilko,2023,30,5034.240326,1
su_13,Chilko,2023,31,4491.657097,1
su_13,Chilko,2023,32,3109.5522,1
su_13,Chilko,2023,33,3932.787879,1
su_13,Chilko,2023,34,5362.213873,1
su_13,Chilko,2023,35,4580.900356,1
su_13,Chilko,2023,36,5678.643718,1
su_13,Chilko,2023,37,4398.710145,1
su_13,Chilko,2023,38,4829.818256,1
su_13,Chilko,2023,39,3682.062649,1
su_13,Chilko,2023,40,2382.030948,1
su_13,Chilko,2023,41,2395.215213,1
su_13,Chilko,2023,42,5162.281596,1
su_13,Chilko,2023,43,6659.527778,1
su_13,Chilko,2023,44,4456.687225,1
su_13,Chilko,2023,45,4524.931408,1
su_13,Chilko,2023,46,3851.63678,1
su_13,Chilko,2023,47,2840.161858,1
su_13,Chilko,2023,48,3765.369815,1
su_13,Chilko,2023,49,2304.837838,1
su_13,Chilko,2023,50,5043.197324,1
su_13,Chilko,2023,51,5423.56338,1
su_13,Chilko,2023,52,4844.703704,1
su_13,Chilko,2023,53,1904.210819,1
su_13,Chilko,2023,54,4060.222222,1
