smu,strata,avg_2014_2018,2019,2020,2021,2022,2023,2024,avg_2019_2024
spring_1.2,fraser_fsc,0.173661297,0.013696391,0.030779282,0.016450656,0.015886508,0.017702925,0.041867011,0.021800404
spring_1.2,fraser_rec,0.004269098,0,0,0,9.23634E-05,0,0,1.86169E-05
spring_1.2,fraser_test,0.008286249,0.010894856,0.007127834,0.010722303,0.004341081,0.006043167,0.004265695,0.006851024
spring_1.2,fraser_comm,0.000335929,0,0,0,0,0,0,0
spring_1.2,nbc_comm,0.009378018,5.49281E-05,0,0,0,0,0.000315977,4.3804E-05
spring_1.2,nbc_fn,0.000923133,0.000155641,0.000107997,0,9.23634E-05,7.10961E-05,0,7.44676E-05
spring_1.2,nbc_rec,0.005030667,0.002334612,0.000107997,0,9.23634E-05,0.000213288,0.000473966,0.000428189
spring_1.2,sbc_comm,0.01518679,0.013982448,0,0,0,0.000142192,0,0.001709739
spring_1.2,sbc_test,0,0,0,0,0.000184727,0,0,3.72338E-05
spring_1.2,sbc_fn,0.001189749,0,0,0,0.000831271,0.00035548,0.003317763,0.000651592
spring_1.2,sbc_rec,0.031544762,0.001067634,0.002749508,0.001503913,0.010603062,0.003418157,0.004039108,0.004300481
spring_1.3,fraser_fsc,0.107456405,0.036625874,0.013369378,0.018747128,0.0116597,0.015697031,0.013210631,0.017484248
spring_1.3,fraser_rec,0.007577512,0,0.000149379,0.007325037,0.00292395,4.99905E-05,0.000357044,0.002012521
spring_1.3,fraser_test,0.009370118,0.009884044,0.008290508,0.010346097,0.005739605,0.008548383,0.005653198,0.008057567
spring_1.3,fraser_comm,4.28512E-05,0,0,0,0,0,0,0
spring_1.3,nbc_comm,0.034316631,0.00527149,0,0.006000736,0.003465422,0.000199962,0.002201772,0.002828004
spring_1.3,nbc_fn,0.003378959,0.000713848,0.000410791,0.000206922,0.000144393,0.000199962,5.95073E-05,0.000284297
spring_1.3,nbc_rec,0.010959404,0.003651605,0.00043951,0.004138439,0.001335631,0.002249574,0.003213397,0.002351201
spring_1.3,sbc_comm,0.008534521,0.005381313,0,0,7.21963E-05,0,0.000357044,0.000793038
spring_1.3,sbc_test,7.14186E-05,0,0,4.13844E-05,0,0,0,7.48149E-06
spring_1.3,sbc_fn,0.001964011,0.000219645,0.002987571,0.000165538,0.000180491,0.000599887,0.002856353,0.001144668
spring_1.3,sbc_rec,0.052879232,0.016265221,0.014754972,0.008261764,0.001347536,0.00317049,0.016114482,0.009445356
summer_1.3,fraser_fsc,0.072651302,0.064005459,0.070194504,0.050228741,0.047741184,0.021495965,0.033387172,0.046216882
summer_1.3,fraser_rec,0.024955597,0.01706059,0.023464115,0.015489039,0.013244919,0.015572361,0.014858634,0.016199
summer_1.3,fraser_test,0.010109037,0.008869247,0.01206839,0.01408765,0.009127327,0.01035104,0.007474072,0.010355282
summer_1.3,fraser_comm,0.004368274,0,0,0,0,0,0,0
summer_1.3,nbc_comm,0.034625716,0.002259681,0.000633096,0.00221272,0.00091502,0.003297676,0.00590765,0.002344592
summer_1.3,nbc_fn,0.003411775,0.000508428,0.000276979,0.004277925,0.000709141,0.000916021,0.000358039,0.001190058
summer_1.3,nbc_rec,0.010690993,0.023698402,0.000318625,0.015304646,0.015235088,0.01035104,0.017991478,0.013318896
