smu,strata,avg_2014_2018,2019,2020,2021,2022,2023,2024,avg_2019_2024
summer_1.3,sbc_comm,0.007315292,0.004858314,0,0.001880812,0.001715663,0,0,0.001255186
summer_1.3,sbc_test,6.96694E-05,0.000112984,3.95685E-05,0.000110636,9.1502E-05,0.000274806,0,0.000112493
summer_1.3,sbc_fn,0.003239629,0.003728473,0.001464034,0.004720469,0.002104547,0.005221321,0.006086669,0.003730033
summer_1.3,sbc_rec,0.075799211,0.035966531,0.02062235,0.021670707,0.013358612,0.027828429,0.061236029,0.027288928
summer_0.3,fraser_fsc,0.050856315,0.103996323,0.135623398,0.095310563,0.109131138,0.039042138,0.12125154,0.084571984
summer_0.3,fraser_rec,0.034078531,0.014509026,0.016346051,0.026694811,0.037599083,0.010216902,0.015051409,0.016915649
summer_0.3,fraser_test,0.007446272,0.010771438,0.009687386,0.010075039,0.012062133,0.005842326,0.008145814,0.008412958
summer_0.3,fraser_comm,0.018623212,3.90553E-06,0,0,4.57549E-05,0.000105132,0,4.48663E-05
summer_0.3,nbc_comm,0.128814048,0.014110662,0.006721952,0.020950846,0.020664053,0.00636662,0.025754715,0.013479201
summer_0.3,nbc_fn,0.012686271,0.004655386,0.004466233,0.006590931,0.00412366,0.000974859,0.000744865,0.002885009
summer_0.3,nbc_rec,0.041562464,0.042433531,0.007195206,0.016500427,0.019634568,0.005832768,0.019172017,0.015480287
summer_0.3,sbc_comm,0.014015562,0.004167195,0.009610537,0.016742967,0.018833858,0.005522834,0.014761536,0.009861723
summer_0.3,sbc_test,8.60841E-05,0.000413986,0.000320954,0.000596726,0.000674885,0.000375471,0,0.000378234
summer_0.3,sbc_fn,0.006042026,0.007315049,0.005148825,0.004577463,0.012553999,0.008009134,0.016302636,0.008715023
summer_0.3,sbc_rec,0.113199823,0.120284368,0.061631053,0.049255955,0.057936217,0.041600502,0.094187293,0.064427142
fall_0.3,fraser_fsc,0.00908693,0.00322182,0.002511987,0.001013093,0.007009441,0.000839166,0.00448822,0.003351672
fall_0.3,fraser_rec,0.042367812,0.051918283,0.052435333,0.063536497,0.11668342,0.077673479,0.111948586,0.086063061
fall_0.3,fraser_test,0.002676694,0.003376199,0.002310645,0.001246883,0.002725205,0.000669374,0.005831183,0.002752467
fall_0.3,fraser_comm,0.001590213,6.71212E-06,0,0,7.03012E-05,0.000186119,0,6.32073E-05
fall_0.3,nbc_comm,0.002847897,0.000543682,0.000153404,0.000950749,0.000334964,0.000476725,0.001008195,0.000594149
fall_0.3,nbc_fn,0.000279743,0.000476561,0.000565676,0.000966335,0.000202633,0.000156731,5.4497E-05,0.000307609
fall_0.3,nbc_rec,0.000601942,0.001892819,0.000605764,0.000498753,0.000239851,0.00026775,0.000455439,0.000561434
fall_0.3,sbc_comm,0.014811292,0.004987109,0.000997125,0.004699191,0.004871458,0.001835064,0.002608072,0.003253069
fall_0.3,sbc_test,1.64618E-05,6.71212E-05,1.91755E-05,0.000132481,0.000252257,0.000156731,0,0.000116301
fall_0.3,sbc_fn,0.00818976,0.000919561,0.007929058,0.005213531,0.004838375,0.001606497,0.005352387,0.003935708
fall_0.3,sbc_rec,0.168891776,0.127135125,0.136862153,0.175364965,0.19089136,0.102719161,0.165408248,0.148183425
