stock,watershed_area,smsy,srep
King Salmon,93,188,496
Unuk,1390,3964,9793
Nicola,4521,1906,4169
Andrew Creek,126,707,1932
Blossom,176,1182,2949
Keta,192,974,2400
Klukshu,253,999,2590
Chickamin,1047,2246,6118
Chena,4515,3672,10946
Salcha,5620,4672,13817
Taku,17094,29020,70335
Upper Columbia-Spring-run,114434,49150,138255
Stikine,15337,17800,42121
Skeena Aggregate,52923,39817,116414
Copper,53794,26951,66808
East Fork Andreafsky,1950,1701,4494
Kogrukluk,2073,5252,15070
Yukon,252070,48443,146576
Nelson,2046,3080,7583
