Brood Year,spawners,recruits,Survival
1997,23010.0000000,22702.3930,0.007317736
1998,34110.0000000,121651.2616,0.063767194
1999,46136.0000000,67296.8364,0.051560553
2000,28425.4221399,33585.8908,0.03783038
2001,35857.3536949,45241.5393,0.024051581
2002,54462.5933195,150173.2200,0.043252251
2003,38642.2463753,46535.7573,0.008815872
2004,17596.5899023,17800.9374,0.008541653
2005,17613.6366962,36752.4590,0.035676008
2006,58720.0433734,141021.6471,0.028198354
2007,15808.7183460,59106.7171,0.021995593
2008,15882.1126340,9141.2791,0.01073975
2009,24204.8081135,12316.2599,0.013695734
2010,70807.7194972,103193.5312,0.05668115
2011,18741.5755994,65268.8957,0.025588326
2012,4239.0831884,13921.3172,0.017058297
2013,27277.6485521,35033.9247,0.015860753
2014,44107.2130367,27277.9281,0.028046868
2015,40694.8479804,32373.0189,0.011836793
2016,6856.8613523,29269.2609,0.03989627
