b_year,f
1984,3992
1985,4054
1986,4109
1987,4177
1988,4170
1989,4022
1990,4122
1991,4077
1992,4129
1993,4088
1994,4181
1995,4035
1996,4083
1997,4132
1998,4184
1999,4198
2000,4231
2001,4276
2002,4304
2003,4318
2004,4245
2005,4248
2006,4128
2007,4162
2008,4193
2009,4176
2010,4054
2011,4104
2012,4082
2013,4042
2014,4027
2015,4061
2016,4037
2017,3898
2018,3968
2019,4103
