Brood Year,Total Age 3-5 Spawners,Recruits,Smolt-age2Surv
1984,121616,203253,0.01108367
1985,174839,79817,0.01374563
1986,162774,693095,0.07224592
1987,79711,221237,0.02627177
1988,35262,452507,0.1085493
1989,75782,385459,0.07207153
1990,178173,576362,0.02195301
1991,91810,79351,0.004025685
1992,131928,57621,0.006471445
1993,120086,85907,0.02045638
1994,99315,375751,0.03781096
1995,28757,82382,0.01003783
1996,41114,245598,0.02324587
1997,72969,147507,0.008297497
1998,203768,315816,0.009061527
1999,106650,493185,0.02085163
2000,86209,296261,0.01434565
2001,115809,149460,0.02407369
2002,92128,216380,0.008603917
2003,248600,202476,0.01371309
2004,143244,40226,0.005163446
2005,89112,172837,0.06804289
2006,61115,62722,0.007461476
2007,81954,325384,0.05733353
2008,43498,79810,0.01983041
2009,77857,95239,0.01033617
2010,107036,76657,0.04702041
2011,125791,175415,0.03508652
2012,48044,47696,0.007092805
2013,48682,47518,0.01870344
