stk,yr,ets,totalSpawn,rec2,rec3,rec4,rec5,rec6
1,1992,5745,5745,0,0,19271,1394,0
1,1993,5202,5202,0,302,10575,473,0
1,1994,9653,9653,0,97,1598,868,0
1,1995,10390,10390,0,0,3423,263,0
1,1996,17757,17757,0,32,5915,701,0
1,1997,9578,9578,0,139,6316,1136,0
1,1998,1554,1554,0,57,9551,1310,0
1,1999,8049,8049,0,333,11550,4368,0
1,2000,8054,8054,0,98,9449,611,0
1,2001,8856,8856,0,0,5664,332,0
1,2002,12504,12504,0,165,6183,1360,0
1,2003,14513,14513,0,148,1192,0,0
1,2004,10117,10117,0,94,6304,263,0
1,2005,3104,3104,0,251,945,176,0
1,2006,4992,4992,0,33,3105,293,0
1,2007,926,926,0,0,2607,0,0
1,2008,4305,4305,0,0,6781,103,0
1,2009,470,470,0,1257,2269,634,0
1,2010,5262,5262,0,28,7078,0,0
1,2011,2735,2735,0,366,4203,175,0
1,2012,5105,5105,0,119,1706,95,0
1,2013,3442,3442,0,70,958,16,0
1,2014,6698,6698,0,16,558,107,0
1,2015,4707,4707,0,0,1790,162,0
1,2016,2041,2041,0,76,3729,46,0
1,2017,1663,1663,0,54,990,205,0
1,2018,1602,1602,0,53,3350,72,0
1,2019,3819,3819,0,0,1706,53,0
1,2020,3829,3829,0,12,731,69,0
