ret_yr,a3,a4,a5
2002,165,6183,1360
2003,148,1192,0
2004,94,6304,263
2005,251,945,176
2006,33,3105,293
2007,0,2607,0
2008,0,6781,103
2009,1257,2269,634
2010,28,7078,0
2011,366,4203,175
2012,119,1706,95
2013,70,958,16
2014,16,558,107
2015,0,1790,162
2016,76,3729,46
2017,54,990,205
2018,53,3350,72
2019,0,1706,53
2020,12,730,0
