ret_year,tot_mort_m,tot_mort_um
1989,0.343789249,0.343789249
1990,0.41117199,0.41117199
1991,0.350603324,0.350603324
1992,0.493994711,0.493994711
1993,0.374687441,0.374687441
1994,0.178839684,0.178839684
1995,0.147142134,0.147142134
1996,0.263431313,0.263431313
1997,0.251408166,0.251408166
1998,0.353341167,0.353341167
1999,0.107866751,0.107866751
2000,0.197429477,0.197429477
2001,0.16530582,0.16530582
2002,0.113387582,0.113387582
2003,0.148117432,0.148117432
2004,0.325352135,0.325352135
2005,0.552925828,0.552925828
2006,0.308157294,0.307731764
2007,0.608719474,0.60227892
2008,0.429083569,0.430278234
2009,0.544658434,0.536641779
2010,0.119139105,0.116629
2011,0.24932149,0.248548339
2012,0.348746415,0.3457475
2013,0.114919853,0.111439804
2014,0.174450224,0.169368622
2015,0.18037396,0.17958996
2016,0.253913775,0.25286922
2017,0.183469218,0.181174282
2018,0.178818707,0.175965411
2019,0.040116023,0.036188261
2020,0.289874666,0.285774405
2021,0.057256482,0.05534073
2022,0.031329381,0.03013488
2023,0.056632408,0.051135102
2024,0.101065368,0.094460645
