day,month,year,cumics
1,8,2020,1.74
2,8,2020,1.56
3,8,2020,1.51
4,8,2020,1.39
5,8,2020,1.29
6,8,2020,1.34
7,8,2020,1.7
8,8,2020,1.78
9,8,2020,1.64
10,8,2020,1.53
11,8,2020,1.36
12,8,2020,1.33
13,8,2020,1.2
14,8,2020,1.21
15,8,2020,1.36
16,8,2020,1.35
17,8,2020,1.32
18,8,2020,1.1
19,8,2020,1.01
20,8,2020,1.08
21,8,2020,1.25
22,8,2020,1.54
23,8,2020,1.54
24,8,2020,1.55
25,8,2020,1.5
26,8,2020,1.28
27,8,2020,1.12
28,8,2020,1.04
29,8,2020,0.99
30,8,2020,1.01
31,8,2020,1.09
1,8,2021,0.558
2,8,2021,0.835
3,8,2021,0.781
4,8,2021,0.607
5,8,2021,0.544
6,8,2021,0.437
7,8,2021,0.503
8,8,2021,0.762
9,8,2021,0.85
10,8,2021,0.696
11,8,2021,0.515
12,8,2021,0.403
13,8,2021,0.341
14,8,2021,0.337
15,8,2021,0.301
16,8,2021,0.366
17,8,2021,0.71
18,8,2021,0.791
19,8,2021,0.682
20,8,2021,0.571
21,8,2021,0.427
22,8,2021,0.446
23,8,2021,0.542
24,8,2021,0.579
25,8,2021,0.532
26,8,2021,0.509
27,8,2021,0.632
28,8,2021,0.705
29,8,2021,0.68
30,8,2021,0.635
31,8,2021,0.618
1,8,2022,1.38
2,8,2022,1.18
3,8,2022,1.18
4,8,2022,1.2
5,8,2022,1.39
6,8,2022,1.33
7,8,2022,1.18
8,8,2022,1.03
9,8,2022,0.951
10,8,2022,0.972
11,8,2022,1.04
12,8,2022,1.16
13,8,2022,1.36
14,8,2022,1.49
15,8,2022,1.39
16,8,2022,1.25
17,8,2022,1.12
18,8,2022,1.07
19,8,2022,1.11
20,8,2022,1.12
21,8,2022,1.15
22,8,2022,1.28
23,8,2022,1.46
24,8,2022,1.61
25,8,2022,1.48
26,8,2022,1.3
27,8,2022,1.2
28,8,2022,1.23
29,8,2022,1.19
30,8,2022,1.07
31,8,2022,1.03
1,8,2023,0.485
2,8,2023,0.397
3,8,2023,0.38
4,8,2023,0.433
5,8,2023,0.398
6,8,2023,0.41
7,8,2023,0.479
8,8,2023,0.454
9,8,2023,0.571
10,8,2023,0.609
11,8,2023,0.483
12,8,2023,0.43
13,8,2023,0.433
14,8,2023,0.395
15,8,2023,0.346
16,8,2023,0.352
17,8,2023,0.361
18,8,2023,0.335
19,8,2023,0.458
20,8,2023,0.681
21,8,2023,0.71
22,8,2023,0.75
23,8,2023,0.955
24,8,2023,1.01
25,8,2023,0.907
26,8,2023,0.92
27,8,2023,0.831
28,8,2023,0.715
29,8,2023,0.742
30,8,2023,0.84
31,8,2023,0.894
1,8,2024,0.511
2,8,2024,0.46
3,8,2024,0.451
4,8,2024,0.425
5,8,2024,0.489
6,8,2024,0.462
7,8,2024,0.386
8,8,2024,0.317
9,8,2024,0.271
10,8,2024,0.338
11,8,2024,0.359
12,8,2024,0.324
13,8,2024,0.429
14,8,2024,0.367
15,8,2024,0.341
16,8,2024,0.387
17,8,2024,0.913
18,8,2024,0.867
19,8,2024,0.751
20,8,2024,0.593
21,8,2024,0.528
22,8,2024,0.567
23,8,2024,0.555
24,8,2024,0.931
25,8,2024,1.26
26,8,2024,1.29
27,8,2024,1.27
28,8,2024,1.73
29,8,2024,1.84
30,8,2024,1.4
31,8,2024,1.21
