PROGRAM_CODE,PROJ_NAME,SPECIES_NAME,RUN_NAME,BROOD_YEAR,STOCK_NAME,STOCK_PROD_AREA_CODE,STOCK_CU_INDEX,STOCK_CU_NAME,STOCK_TYPE_CODE,REARING_TYPE_CODE,FACILITY_NAME,RELEASE_SITE_NAME,REL_CU_INDEX,REL_CU_NAME,RELEASE_STAGE_NAME,MRP_TAGCODE,RELEASE_YEAR,START_DATE,END_DATE,AVE_WEIGHT,PURPOSE_CODE,TRANSFER,RELEASE_COMMENT,RowNum,TaggedClip,TaggedNum,ShedTagNum,NoTagClip,NoTagNum,NoTagPartMarkNum,UnmarkedNum,TotalRelease
CDP,Deadman R,Chinook,Spring,1989,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,W,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Fed Fry,NOCN8979,1990,19900613,19900613,1.8,B,N,RELEASED DURING FLOOD THAT DESTROYED HATCHERY.,1,,0,0,,0,0,75857,75857
CDP,Deadman R,Chinook,Spring,1990,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,021029,1992,19920428,19920428,30.5,P,N,YEARLING RELEASE,1,AD,7888,0,,0,0,3652,11540
CDP,Deadman R,Chinook,Spring,1990,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 0+,NOCN9051,1991,19910516,19910516,5.5,B,N,ACCELERATED GROWTH,1,,0,0,,0,0,25700,25700
CDP,Deadman R,Chinook,Spring,1991,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,020861,1993,19930413,19930419,17.2,P,N,YEARLING RELEASE; IFF MARK-ONLY FISHERY; MORTALITIES NOT RECORDED SO REL # EST,1,AD,3000,0,,0,0,,3000
CDP,Deadman R,Chinook,Spring,1993,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,020929,1995,19950422,19950510,18,P,N,EXTENDED REARING; DEVELOP IFF MARK-ONLY FISHERY; ALSO SEE 181327,1,AD,8066,0,,0,0,1928,9994
CDP,Deadman R,Chinook,Spring,1993,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,181327,1995,19950422,19950510,18,P,N,EXTENDED REARING; DEVELOP IFF MARK-ONLY FISHERY; ALSO SEE 020929,1,AD,23338,0,,0,0,5578,28916
CDP,Deadman R,Chinook,Spring,1994,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,181461,1996,19960430,199605,19.4,P,N,REARING MORTS NOT REC.; USED BIOSTD SURV.; SEE ALSO 181462.,1,AD,22467,0,,0,0,,22467
CDP,Deadman R,Chinook,Spring,1994,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,181462,1996,19960430,199605,19.4,P,N,REARING MORTS NOT REC.; USED BIOSTD SURV.; SEE ALSO 181461.,1,AD,17844,0,,0,0,,17844
CDP,Deadman R,Chinook,Spring,1995,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Fed Fall,NOCN95101,1996,199610,199610,5,B,N,FRY RELEASE; RELEASED FISH SERIOUSLY ILL.,1,,0,0,,0,0,4700,4700
CDP,Deadman R,Chinook,Spring,1995,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,NOCN9596,1997,199705,199705,16,P,N,NOT TAGGED DUE TO ILL HEALTH AT REGULAR TAGGING TIME,1,,0,0,,0,0,23400,23400
CDP,Deadman R,Chinook,Spring,1996,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,NOCN96131,1998,19980511,19980511,19,B,N,EXTENDED REARING,1,,0,0,,0,0,9770,9770
CDP,Deadman R,Chinook,Spring,1997,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,183103,1999,19990416,19990416,19.01,P,N,YEARLING REL. ALSO 183104; ESTIMATED RELEASE #'S DUE TO POOR RECORD-KEEPING.,1,AD,24430,562,,0,0,,24992
CDP,Deadman R,Chinook,Spring,1997,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,183104,1999,19990416,19990416,19.01,P,N,YEARLING REL. ALSO 183103; ESTIMATED RELEASE #'S DUE TO POOR RECORD-KEEPING.,1,AD,24732,125,,0,0,32900,57757
CDP,Deadman R,Chinook,Spring,1998,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,NOCN98117,2000,20000430,20000430,20,B,N,EXTENDED REARING.,1,,0,0,,0,0,51500,51500
CDP,Deadman R,Chinook,Spring,1999,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,M,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,NOCN99122,2001,20010508,20010508,13,B,N,YEARLING RELEASE.,1,,0,0,,0,0,78664,78664
CDP,Fort St James,Chinook,Summer,1983,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,W,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,022446,1984,198404,19840426,6,P,N,,1,AD,29107,354,,0,0,763,30224
CDP,Fort St James,Chinook,Summer,1984,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,W,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,021717,1985,19850415,19850507,5.8,B,N,NECHAKO RIVER STUDY,1,AD,102737,0,,0,0,62171,164908
CDP,Fort St James,Chinook,Summer,1985,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,NOCN8535,1986,19860514,19860524,6.97,P,N,,1,,0,0,,0,0,111763,111763
CDP,Fort St James,Chinook,Summer,1986,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,NOCN8634,1987,19870327,19870513,6.52,P,N,,1,,0,0,,0,0,138767,138767
CDP,Fort St James,Chinook,Summer,1987,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,NOCN8722,1988,198803,19880327,3.9,P,N,,1,,0,0,,0,0,10000,10000
CDP,Fort St James,Chinook,Summer,1987,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,NOCN8723,1988,198804,19880418,4.85,P,N,,1,,0,0,,0,0,13500,13500
CDP,Fort St James,Chinook,Summer,1987,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,NOCN8724,1988,19880516,19880518,6.82,P,N,,1,,0,0,,0,0,97941,97941
CDP,Fort St James,Chinook,Summer,1988,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,025756,1989,198905,19890512,7.55,B,N,NECHAKO RIVER STUDY - ALSO SEE 02-57-57,1,AD,27128,109,,0,0,,27237
CDP,Fort St James,Chinook,Summer,1988,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,025757,1989,19890515,19890516,7.85,B,N,NECHAKO RIVER STUDY - ALSO SEE 02-57-56,1,AD,27521,0,,0,0,10601,38122
CDP,Fort St James,Chinook,Summer,1989,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,026316,1990,19900516,19900518,7.1,B,N,"NECHAKO STUDY; ALSO SEE 2-63-17,18,19.",1,AD,25427,257,,0,0,,25684
CDP,Fort St James,Chinook,Summer,1989,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,026317,1990,19900516,19900518,7.1,B,N,"NECHAKO STUDY; ALSO SEE 02-63-16,18,19.",1,AD,26413,0,,0,0,,26413
CDP,Fort St James,Chinook,Summer,1989,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,026318,1990,19900516,19900518,7.1,B,N,"NECHAKO STUDY; ALSO SEE 2-63-16,17,19.",1,AD,27378,0,,0,0,,27378
CDP,Fort St James,Chinook,Summer,1989,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,026319,1990,19900516,19900518,7.1,B,N,"NECHAKO STUDY; ALSO SEE 2-63-16,17,18.",1,AD,24989,0,,0,0,,24989
CDP,Fort St James,Chinook,Summer,1989,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,NOCN8936,1990,199003,19900328,3.37,P,N,,1,,0,0,,0,0,20855,20855
CDP,Fort St James,Chinook,Summer,1990,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,020319,1991,19910503,19910505,5.03,B,N,"NECHAKO RIVER STUDY- ALSO SEE 2-10-09, 2-11-22 & 2-11-23",1,AD,26804,0,,0,0,4189,30993
CDP,Fort St James,Chinook,Summer,1990,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,021009,1991,19910503,19910505,5.03,B,N,"NECHAKO RIVER STUDY- ALSO SEE 2-03-19, 2-11-22 & 2-11-23",1,AD,26353,538,,0,0,4188,31079
CDP,Fort St James,Chinook,Summer,1990,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,021122,1991,19910503,19910505,5.03,B,N,"NECHAKO RIVER STUDY- ALSO SEE 2-03-19, 2-10-09 & 2-11-23",1,AD,26889,0,,0,0,4189,31078
CDP,Fort St James,Chinook,Summer,1990,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,021123,1991,19910503,19910505,5.03,B,N,"NECHAKO RIVER STUDY- ALSO SEE 2-03-19, 2-10-09 & 2-11-22",1,AD,25110,0,,0,0,4188,29298
CDP,Fort St James,Chinook,Summer,1991,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,020504,1992,19920319,19920502,7,B,N,NECHAKO STUDY; ACCID. REL. SOME TAGS WITH UNTAGGED FRY MAR.19/92 AT 3 GM,1,AD,5136,26,,0,0,316,5478
CDP,Fort St James,Chinook,Summer,1991,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,020547,1992,19920319,19920502,7,B,N,NECHAKO STUDY; ACCID. REL. SOME TAGS WITH UNTAGGED FRY MAR.19/92 AT 3 GM,1,AD,15107,153,,0,0,936,16196
CDP,Fort St James,Chinook,Summer,1991,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,020827,1992,19920319,19920502,7,B,N,NECHAKO STUDY; ACCID. REL. SOME TAGS WITH UNTAGGED FRY MAR.19/92 AT 3 GM,1,AD,9829,49,,0,0,606,10484
CDP,Fort St James,Chinook,Summer,1991,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,021158,1992,19920319,19920502,7,B,N,NECHAKO STUDY; ACCID. REL. SOME TAGS WITH UNTAGGED FRY MAR.19/92 AT 3 GM,1,AD,25219,0,,0,0,1546,26765
CDP,Fort St James,Chinook,Summer,1991,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,021159,1992,19920319,19920502,7,B,N,NECHAKO STUDY; ACCID. REL. SOME TAGS WITH UNTAGGED FRY MAR.19/92 AT 3 GM,1,AD,25042,0,,0,0,1536,26578
CDP,Fort St James,Chinook,Summer,1991,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,021160,1992,19920319,19920502,7,B,N,NECHAKO STUDY; ACCID. REL. SOME TAGS WITH UNTAGGED FRY MAR.19/92 AT 3 GM,1,AD,25171,126,,0,0,1551,26848
CDP,Fort St James,Chinook,Summer,1992,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,180239,1993,19930506,19930506,7,B,N,NECHAKO RIVER STUDY; ALSO SEE 180546 & 180547,1,AD,26428,0,,0,0,13570,39998
CDP,Fort St James,Chinook,Summer,1992,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,180546,1993,19930506,19930506,7,B,N,NECHAKO RIVER STUDY; ALSO SEE 180547 & 180239,1,AD,25913,0,,0,0,13305,39218
CDP,Fort St James,Chinook,Summer,1992,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart Lk,,,Smolt 0+,180547,1993,19930506,19930506,7,B,N,NECHAKO RIVER STUDY; ALSO SEE 180546 & 180239,1,AD,25559,0,,0,0,13123,38682
CDP,Fort St James,Chinook,Summer,1993,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,NOCN9304,1994,19940506,19940506,4.21,P,N,,1,,0,0,,0,0,23669,23669
CDP,Fort St James,Chinook,Summer,1994,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,180562,1995,199505,199505,5,B,N,NECHAKO STUDY; HATCHERY CLOSED- NO'S ESTIM.; ALSO SEE 181839 & 181840,1,AD,8863,90,,0,0,,8953
CDP,Fort St James,Chinook,Summer,1994,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,181839,1995,199505,199505,5,B,N,NECHAKO STUDY; HATCHERY CLOSED- NO'S ESTIM.; ALSO SEE 181840 & 180562,1,AD,32881,0,,0,0,,32881
CDP,Fort St James,Chinook,Summer,1994,Stuart R,UPFR,CK-11,MIDDLE FRASER RIVER_SU_1.3,M,H,Stuart River,Stuart R,CK-11,MIDDLE FRASER RIVER_SU_1.3,Smolt 0+,181840,1995,199505,199505,5,B,N,NECHAKO STUDY; HATCHERY CLOSED- NO'S ESTIM.; ALSO SEE 181839 & 180562,1,AD,32676,0,,0,0,,32676
CDP,Penny,Chinook,Spring,1984,James Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,James Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Fed Fry,022852,1985,198507,19850716,2,B,N,UPFR CHINOOK FRY; ALSO SEE 023108,1,AD,60060,0,,0,0,54932,114992
CDP,Penny,Chinook,Spring,1984,James Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,James Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Fed Fry,023108,1985,198507,19850716,2,B,N,UPFR CHINOOK FRY; ALSO SEE 022852,1,AD,24962,0,,0,0,,24962
CDP,Penny,Chinook,Spring,1985,Fontoniko Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Fontoniko Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Fed Fry,NOCN8531,1986,198607,19860721,2,B,N,,1,,0,0,,0,0,72290,72290
CDP,Penny,Chinook,Spring,1985,Fontoniko Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Red Mountain Cr,,,Smolt 1+,NOCN8532,1987,198704,19870430,12,B,Y,YEARLING RELEASE,1,,0,0,,0,0,309,309
CDP,Penny,Chinook,Spring,1986,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,024119,1988,198803,19880302,11,P,N,,1,AD,10645,32,,0,0,483,11160
CDP,Penny,Chinook,Spring,1986,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,024120,1988,198803,19880302,11,P,N,,1,AD,10089,30,,0,0,482,10601
CDP,Penny,Chinook,Spring,1986,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025029,1988,198803,19880302,11,P,N,,1,AD,10411,31,,0,0,483,10925
CDP,Penny,Chinook,Spring,1986,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025030,1988,198803,19880302,11,P,N,,1,AD,10489,32,,0,0,483,11004
CDP,Penny,Chinook,Spring,1986,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025031,1988,198803,19880302,11,P,N,,1,AD,10372,31,,0,0,482,10885
CDP,Penny,Chinook,Spring,1986,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Fed Fry,NOCN8632,1987,198705,19870512,0.5,B,N,,1,,0,0,,0,0,71644,71644
CDP,Penny,Chinook,Spring,1987,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025042,1989,198904,19890411,12.15,P,N,,1,AD,10594,0,,0,0,456,11050
CDP,Penny,Chinook,Spring,1987,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025043,1989,198904,19890411,12.15,P,N,,1,AD,10629,0,,0,0,457,11086
CDP,Penny,Chinook,Spring,1987,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025207,1989,198904,19890411,12.15,P,N,,1,AD,10644,0,,0,0,457,11101
CDP,Penny,Chinook,Spring,1987,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025208,1989,198904,19890411,12.15,P,N,,1,AD,10734,0,,0,0,457,11191
CDP,Penny,Chinook,Spring,1987,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025209,1989,198904,19890411,12.15,P,N,,1,AD,10406,0,,0,0,456,10862
CDP,Penny,Chinook,Spring,1987,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Fed Fry,RV8721,1988,198806,19880620,1.3,B,N,FED FRY RELEASE - MARKED FOR ESCAPEMENT I.D.,1,,0,0,RV,83032,0,16,83048
CDP,Penny,Chinook,Spring,1988,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025246,1990,199004,19900410,12.2,P,N,,1,AD,10494,0,,0,0,688,11182
CDP,Penny,Chinook,Spring,1988,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025247,1990,199004,19900410,12.2,P,N,,1,AD,10318,0,,0,0,687,11005
CDP,Penny,Chinook,Spring,1988,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025248,1990,199004,19900410,12.2,P,N,,1,AD,10371,0,,0,0,687,11058
CDP,Penny,Chinook,Spring,1988,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025249,1990,199004,19900410,12.2,P,N,,1,AD,10472,0,,0,0,687,11159
CDP,Penny,Chinook,Spring,1988,Dome Cr,UPFR,CK-12,UPPER FRASER RIVER_SP_1.3,W,H,Penny H,Dome Cr,CK-12,UPPER FRASER RIVER_SP_1.3,Smolt 1+,025250,1990,199004,19900410,12.2,P,N,,1,AD,10151,0,,0,0,687,10838
