PROGRAM_CODE,PROJ_NAME,SPECIES_NAME,RUN_NAME,BROOD_YEAR,STOCK_NAME,STOCK_PROD_AREA_CODE,STOCK_CU_INDEX,STOCK_CU_NAME,STOCK_TYPE_CODE,REARING_TYPE_CODE,FACILITY_NAME,RELEASE_SITE_NAME,REL_CU_INDEX,REL_CU_NAME,RELEASE_STAGE_NAME,MRP_TAGCODE,RELEASE_YEAR,START_DATE,END_DATE,AVE_WEIGHT,PURPOSE_CODE,TRANSFER,RELEASE_COMMENT,RowNum,TaggedClip,TaggedNum,ShedTagNum,NoTagClip,NoTagNum,NoTagPartMarkNum,UnmarkedNum,TotalRelease
CDP,Chehalis Band,Chinook,Fall,1980,Harrison R,LWFR,CK-03,LOWER FRASER RIVER_FA_0.3,W,H,Smokehouse H,Billy Harris Sl,CK-03,LOWER FRASER RIVER_FA_0.3,Smolt 0+,022109,1981,19810629,19810704,5,P,N,CONTRIBUTION AND DISTRIBUTION,1,AD,18900,31,,0,0,223,19154
CDP,Chehalis Band,Chinook,Fall,1980,Harrison R,LWFR,CK-03,LOWER FRASER RIVER_FA_0.3,W,H,Smokehouse H,Billy Harris Sl,CK-03,LOWER FRASER RIVER_FA_0.3,Smolt 0+,022113,1981,19810629,19810704,5,P,N,CONTRIBUTION AND DISTRIBUTION,1,AD,19876,34,,0,0,234,20144
CDP,Chehalis Band,Chinook,Fall,1981,Harrison R,LWFR,CK-03,LOWER FRASER RIVER_FA_0.3,W,H,Smokehouse H,Harrison R,CK-03,LOWER FRASER RIVER_FA_0.3,Fed Fry,022205,1982,198205,198205,1.6,P,N,CONTRIBUTION AND DISTRIBUTION,1,AD,43460,810,,0,0,35321,79591
CDP,Chehalis Band,Chinook,Fall,1982,Harrison R,LWFR,CK-03,LOWER FRASER RIVER_FA_0.3,M,H,Smokehouse H,Harrison R,CK-03,LOWER FRASER RIVER_FA_0.3,Fed Fry,NOCN8216,1983,198304,19830425,0,B,N,,1,,0,0,,0,0,70138,70138
CDP,Chehalis Band,Chinook,Fall,1985,Harrison R,LWFR,CK-03,LOWER FRASER RIVER_FA_0.3,M,H,Smokehouse H,Harrison R,CK-03,LOWER FRASER RIVER_FA_0.3,Fed Fry,NOCN8530,1986,198606,19860606,2.8,B,N,COMPARE INCUBATION AND EARLY REARING SURVIVAL TO CHEHALIS H (OPERATIONS).,1,,0,0,,0,0,61661,61661
CDP,Deadman R,Chinook,Spring,1985,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,W,W,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Nat Fry,023842,1986,19860801,19860831,0,B,N,RECONNAISSANCE PRIOR TO HATCHERY CONSTRUCTION,1,AD,6834,716,,0,0,,7550
CDP,Deadman R,Chinook,Spring,1986,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,W,W,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Nat Fry,023843,1987,19870625,19870629,1.7,B,N,RECONNAISSANCE PRIOR TO HATCHERY CONSTRUCTION,1,AD,8444,60,,0,0,347,8851
CDP,Deadman R,Chinook,Spring,1986,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,W,W,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Nat Fry,023844,1987,19870629,19870708,1.7,B,N,RECONNAISSANCE PRIOR TO HATCHERY CONSTRUCTION,1,AD,9150,97,,0,0,450,9697
CDP,Deadman R,Chinook,Spring,1986,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,W,W,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Nat Fry,023845,1987,19870629,19870817,2.1,B,N,RECONNAISSANCE PRIOR TO HATCHERY CONSTRUCTION,1,AD,7452,63,,0,0,177,7692
CDP,Deadman R,Chinook,Spring,1986,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,W,W,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Nat Fry,023846,1987,19870817,19871112,3.8,B,N,RECONNAISSANCE PRIOR TO HATCHERY CONSTRUCTION,1,AD,4359,3,,0,0,27,4389
CDP,Deadman R,Chinook,Spring,1988,Deadman R,TOMM,CK-17,LOWER THOMPSON_SP_1.2,W,H,Deadman River H,Deadman R,CK-17,LOWER THOMPSON_SP_1.2,Smolt 1+,026302,1990,19900329,19900420,18.9,P,N,YEARLING RELEASE - SURVIVAL COMPARISON TO EARLIER WILD TAGGING,1,AD,18244,0,,0,0,,18244
