"","CU","mu_beta","CI2.5_beta","CI50_beta","CI97.5_beta","SMU"
"1","CK-04",0.0016251411249812,0.000777783617673878,0.00155028122627494,0.00295222061228379,"SP_1.3"
"2","CK-05",0.00237082715829078,0.00101726622896916,0.00226027934040287,0.00463204745455841,"SU_1.3"
"3","CK-06",0.00163640479315306,0.000771589281390461,0.00154003397015505,0.00313627287297841,"SU_1.3"
"4","CK-08",0.00292567233813159,0.00143704569936798,0.00275655983357278,0.00536669114488794,"SP_1.3"
"5","CK-09",0.00149790236951683,0.000664350856921001,0.00141492362154694,0.00296838537034233,"SU_1.3"
"6","CK-10",5.88199690051957e-05,2.87826615412853e-05,5.60209588352603e-05,0.000104622656345815,"SP_1.3"
"7","CK-11",2.9614295474167e-05,1.34030984417446e-05,2.76943355888032e-05,5.60212794479245e-05,"SU_1.3"
"8","CK-12",6.05788726007258e-05,3.01375224549426e-05,5.76777647673934e-05,0.000110915485835616,"SP_1.3"
"9","CK-14",0.00105198735854645,0.000484147140510934,0.000993512070256568,0.00200877228602293,"SU_1.3"
"10","CK-18",0.000361368581226604,0.000167902880648998,0.000337432427888627,0.000683132710752535,"SP_1.3"
"11","CK-19",0.000101725780879775,4.57600908076294e-05,9.57037110391986e-05,0.000189687556290415,"SU_1.3"
